"ROBERTSBRIDGE, SALEHURST VICARAGE",,,,,,,,,,,,
Grid ref,TQ7487924401,Long,0.490543,Lat,50.992438,,,,,,,
Station no,RR4907,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.33,2.80,5.70,1.48,5.40,1.17,2.15,1.08,,
February,,,1.85,1.79,3.85,1.04,3.48,2.05,1.41,0.62,,
March,,,2.02,3.33,1.61,5.14,2.16,1.15,3.37,4.87,,
April,,,0.97,1.98,1.24,2.42,1.58,3.41,2.59,2.35,,
May,,,2.43,2.26,2.18,1.81,2.77,2.62,1.49,1.42,,
June,,,2.33,3.63,1.33,4.10,1.40,2.32,1.28,3.14,,
July,,,1.15,3.95,1.81,0.91,0.45,2.62,3.16,3.23,,
August,,,3.95,4.62,1.30,2.63,1.10,1.31,4.03,2.78,,
September,,,0.75,3.39,1.50,2.87,1.89,0.66,1.84,4.39,,
October,,1.87,2.68,7.07,2.35,3.19,5.70,6.00,1.97,9.12,,
November,,0.64,3.11,2.60,1.60,6.04,8.28,2.88,1.31,1.02,,
December,,6.19,2.90,2.60,4.19,1.09,2.73,3.35,4.68,6.15,,
Total,,,25.47,40.02,28.66,32.72,36.94,29.54,29.28,40.17,,
Calc annual,0.00,8.70,25.47,40.02,28.66,32.72,36.94,29.54,29.28,40.17,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
