"CHURCH HOUSE SALEHURST",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4907,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,0.82,5.28,5.76,3.85,4.57,3.20,,
February,,,,,1.57,2.53,4.38,1.89,1.33,2.72,,
March,,,,,3.58,1.85,2.72,3.12,1.56,2.65,,
April,,,,,2.01,0.29,1.75,1.92,2.05,1.50,,
May,,,,,2.12,3.13,0.97,2.74,1.02,3.40,,
June,,,,,1.19,1.89,2.58,1.03,0.58,0.83,,
July,,,,,0.61,3.03,2.63,4.95,2.06,0.69,,
August,,,,,1.78,2.93,3.63,1.84,3.01,1.02,,
September,,,,,3.26,0.05,5.83,1.55,1.92,3.32,,
October,,,,,2.01,8.80,2.24,2.76,3.36,2.40,,
November,,,,,6.85,6.95,1.84,1.69,1.82,1.95,,
December,,,,,1.25,1.66,2.46,1.65,8.03,3.25,,
Total,,,,,27.05,38.39,36.79,28.99,31.31,26.93,,
Calc annual,0.00,0.00,0.00,0.00,27.05,38.39,36.79,28.99,31.31,26.93,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,,
