ROBERTSBRIDGE-SALEHURST-VICARAGE (CHURCH HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ7499724285,Long,0.49216734,Lat,50.99136,Elevation,75,ft,,,,,,,,,,,,
Station no,RR4907,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,0.82,5.28,5.76,3.85,4.57,3.2,1.58,2.88,,,,,,,,
February,,,,,1.57,2.53,4.38,1.89,1.33,2.72,1.7,1.57,,,,,,,,
March,,,,,3.58,1.85,2.72,3.12,1.56,2.65,2.27,1.38,,,,,,,,
April,,,,,2.01,0.29,1.75,1.92,2.05,1.5,0.27,3.98,,,,,,,,
May,,,,,2.12,3.13,0.97,2.74,1.02,3.4,1.8,0.7,,,,,,,,
June,,,,,1.19,1.89,2.58,1.03,0.58,0.83,0.26,2.3,,,,,,,,
July,,,,,0.61,3.03,2.63,4.95,2.06,0.69,1.77,2.08,,,,,,,,
August,,,,,1.78,2.93,3.63,1.84,3.01,1.02,1.16,0.94,,,,,,,,
September,,,,,3.26,0.05,5.83,1.55,1.92,3.32,2.58,4.14,,,,,,,,
October,,,,,2.01,8.8,2.24,2.76,3.36,2.4,4.29,0.98,,,,,,,,
November,,,,,6.85,6.95,1.84,1.69,1.82,1.95,2.25,,,,,,,,,
December,,,,,1.25,1.66,2.46,1.65,8.03,3.25,3.99,,,,,,,,,
Total,,,,,27.05,38.39,36.79,28.99,31.31,26.93,23.92,,,,,,,,,
