CRADLEY MILL BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO737480,Long,-2.3856155,Lat,52.129674,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.37,1.29,1.48,3.38,3.59,2.85,3.96,1.32,3.54,1.76,3.59,2.69,3.97,1.11,4.92,1.33,1.3,1.8,2.47,0.81,,,,,
February,,,,,,,3.82,1.25,1.16,2.9,1.02,0.23,2.73,5.99,0.65,3.46,2.57,2.55,2.09,0.64,0.75,1.86,0.16,4.76,0.45,2.14,,,,,
March,,,,,,,3.69,2.52,1.37,4.55,2.95,1.45,2.27,1.76,1.38,0.46,0.72,2.65,3.02,0.04,2.43,0.14,1.62,2.19,2.44,0.68,,,,,
April,,,,,,,1.31,1.48,3.05,2.19,3.92,1.4,2.19,3.23,2.9,2.35,2.85,1.46,1.35,0.7,3.19,3.43,4.08,0.84,2.47,3.47,,,,,
May,,,,,,,3.14,4.37,1.82,0.53,1.49,1.53,0.9,1.88,5.98,3.87,3.4,1.16,1.12,1.6,1.82,3.06,6.78,1.85,1.05,0.83,,,,,
June,,,,,,,0.9,2.47,1.13,1,2.04,0.91,0.95,0.5,2.71,0.02,1.16,3.68,2.19,1.45,2,3.89,1.68,1.92,1.53,2.45,,,,,
July,,,,,,,2.44,2.24,2.37,3.05,5.96,0.55,4.91,2.97,4.47,2.99,2.62,2.85,1.56,2.32,2.94,2.89,1.27,1.39,0.84,0.36,,,,,
August,,,,,,,2.36,6.06,1.18,1.96,0.7,3.73,3.47,2.16,3.1,1.93,2.43,3.88,1.76,1.45,2.52,4.09,3.23,0.84,1.95,1,,,,,
September,,,,,,,1.21,1.98,6.4,1.95,2.24,1.01,2.21,1.89,4.98,2.93,0.64,5.09,0.86,1.2,4.27,1.69,3.43,1.61,2.25,3.12,,,,,
October,,,,,,,3.78,2.9,1.32,2.12,2.45,1.69,0.38,4.76,4.9,3.24,2.72,1.95,4.74,3.82,2.41,0.77,3.04,3.62,1.08,3.06,,,,,
November,,,,,,,2.74,1.01,1.9,1.23,0.75,2.16,1.07,1.45,2.56,1.36,6.9,3.72,2.11,7.5,2.53,3.87,1.15,0.76,2.06,5.82,,,,,
December,,,,,,,2.41,0.98,2.68,3.74,2.97,1.53,3.48,2.94,3.05,2.92,0.63,1.63,2.95,6.16,3.46,0.9,1.5,0.63,5.01,3.89,,,,,
Total,,,,,,,29.17,28.55,25.86,28.6,30.08,19.04,28.52,30.85,40.22,27.29,30.23,33.31,27.72,27.99,33.24,27.92,29.24,22.21,23.6,27.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR on record has elevation too high, moved south to Mill Bank where the recorded elevation is fine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
