RETTENDON-RECTORY,,,,,,,,,,
Grid ref,TQ780964,Long,0.57088445,Lat,51.638236,Elevation,120,ft,,
Station no,RR7396,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.75,0.55,3.37,0.96,1.08,2.96,2.81
February,,,,0.61,2.25,2.68,3.39,0.4,0.65,2.81
March,,,,1.96,3.69,1.19,3.04,1.71,0.76,2.53
April,,,,2.21,1.15,0.79,2.28,1.58,2.27,3.37
May,,,,1.69,1.27,2.15,1.63,2.34,1.47,0.54
June,,,,0.8,0.85,1.27,1.94,0.76,0.64,1.35
July,,,,1.55,1.2,3.81,0.86,3.57,5.47,1.95
August,,,,0.9,0.76,2.7,3.56,3.82,1.32,1.64
September,,,,0.93,0.72,2.18,1.01,1.02,3.49,0.86
October,,,,3.52,1.26,1.8,2.17,3.28,1.89,0.54
November,,,,3.11,2.41,2.96,3.83,1.58,2.02,1.71
December,,,,0.77,5.32,4.97,2.28,1.34,1.45,3.08
Total,,,,20.8,21.43,29.87,26.95,22.48,24.39,23.19
