PEMBROKE-DOCK-MIX (Admiralty Reservoirs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SM956035,Long,-4.9582,Lat,51.6936,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.61,1.9,3.24,2.19,3.92,6.78,1.78,3.25,2.22,,3.97,5.41,4.08,4.19,5.34,1.98,6.54,2.53,6.13,5.25,8.15,2.27,6.5,4.05,5.33,3.94,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.64,0.39,3.82,2.04,3.12,1.78,3.59,6.61,4.19,,1.86,3.29,1.22,0.24,3.83,9.25,0.82,5.12,4.11,3.46,3.93,2.43,0.85,3.74,0.11,3.74,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.72,5.12,1.62,2.49,5.7,4.47,4.05,0.65,1.6,,1.98,3.83,4.28,3.3,3.2,1.79,2.29,0.92,0.35,3.29,5.12,0.65,3.77,2.48,2.16,2.85,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.57,2.63,2.93,2.1,1.66,0.14,3.63,0.98,1.48,1.87,,1.66,1.57,4.65,1,2.54,3.04,2.53,1.98,1.53,1.61,1.42,0.99,2.3,2.99,3.22,1.73,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.93,2.05,1.24,1.62,1.06,1.43,3.64,1.68,2.43,2.17,,1.5,1.28,2.59,1.89,1.57,1.58,2.69,3.84,1.97,1.69,0.85,3.97,2.18,4.12,2.91,2.51,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.43,0.87,2.02,2.56,2,4.58,1.89,1.49,3.06,2.56,,1.28,1.83,2.73,0,1.58,0.89,3,0,2.14,2.89,4.43,1.66,1.64,2.16,1.57,2.57,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.91,3.76,3.02,2.44,0.44,3.27,0.64,4.92,3.97,1.13,,3.84,0.57,5.52,1.81,5.45,2.99,4.88,2.63,6.35,3.69,2.19,2.42,3.28,5.71,3.13,2.06,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.69,5.17,2.06,8.34,2.74,5.94,1.62,3.34,1.95,2.67,,3.12,2.74,2.64,5.43,5.1,4.22,3.67,4.27,3.1,4.85,2.88,2.34,4.74,3.7,1,1.97,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.36,3.51,2.91,0.16,2.91,0.61,6.11,1.79,2.19,3.11,,6.84,1.64,4.57,1.33,5.21,2.98,5.06,2.77,1.32,4.16,1.98,1.74,7.05,3.17,3.65,3.18,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,8.15,4.23,6.2,3.57,5.56,5.5,4.89,2.25,5.06,9.16,,4.09,1.39,6.04,1.35,1.24,5.7,6.28,5.09,2.92,2.31,8.32,6.41,6.46,1.72,7.8,7.34,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
