LYNDHURST-DEERHURST,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU288068,Long,-1.59122,Lat,50.86013,Elevation,195,ft,,,,,,,,,,,,,
Station no,644,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.63,4.07,6.32,1.57,3.1,4.76,,2.55,6.95,1.45,4.84,2.63,2.27,,,,,,,,
February,0.72,0.21,3.46,7.04,0.28,4.25,,4.48,2.62,1.31,0.91,2.28,0.13,,,,,,,,
March,2.48,1.54,3.06,1.79,1.78,0.49,,4.08,3.13,0.1,1.75,1.09,1.65,,,,,,,,
April,3.23,0.87,3.5,4.26,3.66,2.74,,2.32,2.25,1.27,2.77,2.38,3.14,,,,,,,,
May,1.5,1.39,1,1.94,4.12,4.03,,0.73,1.46,3.03,2.26,2.52,4.11,,,,,,,,
June,2.6,0.26,1.19,0.39,2.4,0,,2.78,2.6,1.36,0.73,2.58,2.06,,,,,,,,
July,5.6,0.41,5.43,0.79,4.64,3.06,,5.49,1.86,2.23,2.98,3.52,2.78,,,,,,,,
August,1.25,1.78,3.99,2.69,3.47,3.17,,4.09,3.17,1.98,3.55,5.81,0.79,,,,,,,,
September,1.68,0.84,2.03,2.44,4.78,3.73,,5.94,1.56,0.36,3.33,1.58,3.82,,,,,,,,
October,3.2,0.94,1.02,5.78,5.03,4.49,,2.71,7.03,4.37,2.27,0.63,6.69,,,,,,,,
November,2.39,2.33,2.62,1.92,3.35,3.38,,3.62,2.81,10.96,6.11,3.84,2.14,,,,,,,,
December,3.93,1.86,5.39,3.55,6.44,3.86,,4.03,2.91,8.09,4.26,0.62,1.33,,,,,,,,
Total,33.21,16.5,39.01,34.16,43.05,37.96,,42.82,38.35,36.51,35.76,29.48,30.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1921 Apr 30 Gauge moved 44ft N,,,,,,,,,,,,,,,,,,,,,
Elevation of 250ft on sheet too high for this area ,,,,,,,,,,,,,,,,,,,,,
1933 Unable to continue due to old age,,,,,,,,,,,,,,,,,,,,,
