EDALE-END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK162863,Long,-1.7579719,Lat,53.373314,Elevation,632,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2690/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.37,6,5.66,6.4,,3.3,,6.3,6.4,4.8,6.2,3.6,9.8,2.8,2.65,5.6,5.4,2.25,5.15,2.85,7.6,3.2,4.75,4.7,7.3
February,,,,,,3.33,8.5,2.56,3.3,,4.6,2.1,3.75,3.15,5.2,8.2,3.75,3.4,2.7,7.1,4.75,2.6,3.1,3.3,3.1,1.6,3.4,7.6,0.35,3.35
March,,,,,,2.95,2.65,1.54,3.5,3.16,5.8,2.2,1.75,,1.3,1.75,8.25,1.8,1.85,1.85,6.3,,3.2,2.4,,2.1,3.8,2.6,1.9,1.95
April,,,,,,1.72,2.8,0.44,2.9,3.37,,2.2,2.85,2.85,2.55,1.6,4.25,2.4,4.4,5.25,2.45,3.1,3.2,0.7,1.35,1.8,0.4,1.3,3.75,2.7
May,,,,,,1.39,2.75,4,1.68,0.92,3.1,3.5,3.2,3.6,3.2,2.1,3.7,1.45,2.1,2.2,2.45,3.15,2.4,3.2,5.2,0.8,1.25,3.6,1.6,1.9
June,,,,,,3.5,2,3.1,2.55,0.76,1.45,0.7,2.76,3.3,3.6,3.75,2.5,5.4,1.05,2.1,1.4,2.56,2.8,2.6,3.7,3.6,,4.4,3.2,1.6
July,,,,,,5,4,5.5,7,4.55,3.3,4.3,2.1,3.1,1.7,4.1,2.55,2.1,2.25,2.6,2.75,2.5,4.5,3.6,1.3,8.1,4.2,6.2,2.6,
August,,,,,,2.7,1.3,2.15,2.31,1.57,5.3,,3.75,3.2,2.6,4.4,0.45,4.6,2.6,3.45,4.6,1.9,4.55,7.2,0.75,8.25,7.2,3.3,0.6,4.3
September,,,,,,6.3,1.27,2.7,1.3,3.65,0.4,3.1,5.2,4.9,2.35,6.2,1.9,2.6,1.6,5.75,2.85,5.85,2.2,5.4,1.85,,8.2,4.8,0.2,4.7
October,,,,,,5.9,2.49,8.4,3.45,4.73,4.75,5.6,2.4,4.8,8.1,1.4,0.95,2.55,4.5,2.15,1.1,6.6,2.1,5.8,3.6,3.55,4.1,3.8,3.6,5.8
November,,,,,,5.95,1.86,5.6,7.96,9.05,3.85,1.75,4.6,7.1,0.5,9.2,6.4,2.6,6.4,6.3,10.2,3.6,2.8,7.25,2.6,2.1,2.6,1.35,4.65,6.2
December,,,,,,5.05,3.86,5.4,2.82,5.3,,3.8,1.9,3.9,3.45,5.2,5.6,4.2,8.2,2.6,6.3,4.25,,8.1,6.6,5.6,5.6,4.25,6.75,5.6
Total,,,,,,47.16,39.48,47.05,45.17,,,,40.56,,39.35,54.1,43.9,42.9,40.45,44,50.75,,,54.7,,,,47.95,33.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3284 EDALE END Start 1936 End 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Edale End. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
