DUNMURRY (LAGMORE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ265690,Long,-6.045342,Lat,54.553645,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6212/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5,3.81,2.5,6.97,5.42,4.98,4.24,4.61,4.04,8.31,3.74,1.92,3.51,4.64,2.05,3.41,5.07,3.57,4.5,4.02,2.45,4.88
February,,,,,,,,,3.3,2.89,3.18,2.74,2.27,1.79,4.04,3.49,1.79,2.1,2.17,4.1,3.73,1.22,1.79,4.2,4.01,1.64,2.57,5.84,1.68,2.75
March,,,,,,,,,4.5,5.13,4.79,2.98,1.43,0.71,1.69,1.96,6.76,2.51,3.25,1.84,3.47,1.21,0.53,3.67,1.46,2,3.47,2.35,2.9,2.28
April,,,,,,,,,3.44,5.05,2.83,1.65,3.4,2.27,2.4,1.33,3.73,1.86,3.04,5.55,2.01,1.92,2.55,0.82,3.19,2.24,2.04,2.09,3.09,3.06
May,,,,,,,,,0.94,1.48,2.81,3.16,5.26,1.96,4.69,1.57,3.97,2.24,2.41,1.74,2.81,1.27,2.1,4.63,3.39,1.57,2.5,3.14,1.24,1.93
June,,,,,,,,,2.29,1.73,0.56,0.5,4.86,3.12,5.36,3.91,3.76,4.98,0.74,3.47,2.25,3.55,1.84,3.35,4.85,3.43,1.52,6.5,2.61,2.19
July,,,,,,,,,6.38,7.11,4.16,3.85,2.29,4.31,4.73,4.67,4.45,3.52,2.86,6.28,4.78,2.46,6.89,5.14,1.63,3.14,4.89,4.8,4.4,7.32
August,,,,,,,,,1.95,1.13,4.91,5.83,7.88,4.2,1.12,6.86,0.54,5.08,4.59,6.64,4.36,6.77,3.72,3.55,1.23,8.98,5.56,5.07,0.95,6
September,,,,,,,,,2.79,3.02,1.92,4.89,3.13,5.67,2.99,7.6,3.48,4.74,2.61,6.8,2.53,2.11,2.93,4.81,4.57,3.38,6.31,5.5,1.71,3.05
October,,,,,,,,,2.55,4.85,7.27,4.44,4.06,5.1,5.88,1.75,1.95,3.92,5.97,3.52,0.88,4.15,2.2,6.79,2.92,3.28,4.59,3.15,3.92,6.33
November,,,,,,,,,5.9,5.9,4.09,0.72,3.85,5.44,1.55,5.22,5.22,3.22,3.32,3.21,7.77,3.33,4.41,6.45,2.63,1.78,2.21,2.22,3.77,4.03
December,,,,,,,,,2.86,4.97,1.83,4.37,3.18,4.58,4.47,4.64,3.37,5.38,5.49,3.85,5.03,4.81,3.7,5.87,5.57,4.98,5.1,4.75,5.2,3.26
Total,,,,,,,,,41.9,47.07,40.85,42.1,47.03,44.13,43.16,47.61,43.06,47.86,40.19,48.92,43.13,37.44,34.71,52.69,40.52,39.99,45.26,49.43,33.92,47.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR on record changed to what looks like IJ269685 but elevation there is 223 ft therefore NGR left as originally on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16393,LAGMORE RESR ,01/01/1939,31/12/1977,,,,,,,,,,,,,,,,,,,,,,,,,,,
