SEALE-POYLEHILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU893482,Long,-0.72253,Lat,51.22639,Elevation,395,ft,,,,,,,,,,,,
Station no,RR8400,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.01,2.19,1.01,2.65,1.26,3.55,4.1,0.8,5.27,1.35,1.3,,
February,,,,,,,,1.55,1.31,0.52,3.53,1.6,2.64,1.18,4.82,5.05,4.9,1.09,,
March,,,,,,,,1.01,3.38,4.02,1.17,2.05,3.48,3.21,4.69,0.83,4.37,2.03,,
April,,,,,,,,4.33,3.31,2.11,2.26,1.73,0.04,3.17,1.46,1.08,1,1.95,,
May,,,,,,,,1.76,1.83,1.86,2.27,2.41,1.9,2.01,1.26,3.34,1.68,3.2,,
June,,,,,,,,2,1.3,3.72,4.07,2.01,3.21,0.81,0.56,1.33,2.36,2.57,,
July,,,,,,,,1.81,1.95,2.73,2.63,0.96,2.35,1.36,2.29,4.83,0.93,4.46,,
August,,,,,,,,2.63,4.1,1.69,4.02,1.82,4.87,1.28,1.69,1.39,3.31,5.64,,
September,,,,,,,,0.53,1.68,3.28,0.42,1.4,3.06,2.86,1.03,2.14,2.2,2.41,,
October,,,,,,,,5.22,3.06,5.15,4.35,3.45,3.25,4.55,1.98,3.3,4.89,,,
November,,,,,,,,2.4,1.09,0.74,3.2,4.41,2.13,2.43,3.31,2.5,4.54,,,
December,,,,,,,,3.64,2.74,3.88,4.47,7.33,3.73,1.76,9.13,6.4,3.19,,,
Total,,,,,,,,27.89,27.94,30.71,35.04,30.43,34.21,28.72,33.02,37.46,34.72,,,
