DAVENTRY BADBY ROAD,,,,,,,,,,,,
Grid ref,SP572623,Long,-1.163445,Lat,52.255906,,,,,,,
Station no,RR8243,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.70,2.94,1.02,0.84,1.05,,
February,,,,1.14,,0.66,2.16,1.24,0.84,0.53,,
March,,,,3.18,,3.02,1.23,1.19,2.91,2.76,,
April,,,,2.29,,1.72,0.55,2.51,4.03,2.02,,
May,,,,3.11,,0.49,1.55,5.50,1.76,1.54,,
June,,,,3.34,,3.09,4.33,2.21,1.34,3.75,,
July,,,,3.38,,0.30,0.42,2.50,2.64,2.86,,
August,,,,3.20,,3.26,1.08,2.32,3.19,2.47,,
September,,,,1.80,,1.79,1.44,0.67,1.82,2.97,,
October,,,,5.45,,1.05,4.49,4.42,1.25,2.96,,
November,,,,1.87,,3.16,3.12,1.33,1.00,0.45,,
December,,,,1.17,,0.84,2.39,3.20,1.86,3.31,,
Total,,,,,,20.08,25.70,28.11,23.48,26.67,,
Calc annual,0.00,0.00,0.00,29.93,0.00,20.08,25.70,28.11,23.48,26.67,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
