DAVENTRY-BADBY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SP571621,Long,-1.1649438,Lat,52.254119,Elevation,486,ft,,,,,,,,,,,,
Station no,RR8243,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.7,2.94,1.02,0.84,1.05,2.34,0.74,3.51,,,,,,,
February,,,,1.14,,0.66,2.16,1.24,0.84,0.53,2.62,1.35,1.42,,,,,,,
March,,,,3.18,,3.02,1.23,1.19,2.91,2.76,0.57,2.11,2.95,,,,,,,
April,,,,2.29,,1.72,0.55,2.51,4.03,2.02,1.37,0.93,0.16,,,,,,,
May,,,,3.11,,0.49,1.55,5.5,1.76,1.54,2.03,1.62,2.3,,,,,,,
June,,,,3.34,,3.09,4.33,2.21,1.34,3.75,1.01,2.09,4.09,,,,,,,
July,,,,3.38,,0.3,0.42,2.5,2.64,2.86,2.35,0.15,3.51,,,,,,,
August,,,,3.2,,3.26,1.08,2.32,3.19,2.47,2.36,2.28,7.94,,,,,,,
September,,,,1.8,,1.79,1.44,0.67,1.82,2.97,,1.52,1.33,,,,,,,
October,,,,5.45,,1.05,4.49,4.42,1.25,2.96,1.96,2.12,2.86,,,,,,,
November,,,,1.87,,3.16,3.12,1.33,1,0.45,3.43,2.43,1.81,,,,,,,
December,,,,1.17,,0.84,2.39,3.2,1.86,3.31,4.76,3.72,2.74,,,,,,,
Total,,,,,,20.08,25.7,28.11,23.48,26.67,,21.06,34.62,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1911 Sep estimated,,,,,,,,,,,,,,,,,,,,
1911 Small move from Oxford Street to Badby Street (same NGR and elevation),,,,,,,,,,,,,,,,,,,,
1913 Gauge moved to Sheaf Street,,,,,,,,,,,,,,,,,,,,
