HAMBLEDEN (HATCHMANS),,,,,,,,,,,,
Grid ref,SU780881,Long,-0.875570,Lat,51.586367,,,,,,,
Station no,998/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.43,1.84,1.12,1.28,3.41,4.70,2.28,3.65,4.09,3.92,,
February,5.67,0.82,2.61,2.58,1.74,0.92,4.25,4.64,0.14,2.91,,
March,4.09,3.25,0.59,2.65,1.32,0.95,2.11,2.44,2.82,1.42,,
April,3.61,1.77,2.69,0.46,0.64,2.00,0.28,1.24,2.74,0.91,,
May,2.55,2.91,1.87,4.14,4.92,0.19,1.76,2.87,0.81,2.20,,
June,1.31,1.14,1.88,4.14,2.66,2.87,1.35,4.68,1.90,1.99,,
July,1.00,0.46,3.39,2.89,0.18,1.93,3.40,3.53,2.41,4.55,,
August,4.64,4.98,2.10,3.78,0.49,5.08,3.96,4.70,1.48,3.16,,
September,3.78,3.03,2.34,2.05,2.72,3.30,4.06,6.12,0.09,4.10,,
October,1.04,3.72,3.19,2.53,2.82,2.28,2.71,4.03,3.13,7.73,,
November,6.36,3.47,1.55,5.31,1.68,1.02,2.42,3.35,2.74,5.18,,
December,2.15,3.63,0.60,2.59,3.06,4.38,3.10,3.86,5.53,2.70,,
Total,39.63,31.02,-999.00,34.40,25.64,29.62,31.68,45.11,27.88,40.77,,
Calc annual,39.63,31.02,23.93,34.40,25.64,29.62,31.68,45.11,27.88,40.77,,
Difference,0.00,0.00,-1022.93,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
