CREETOWN CASSENCARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX475576,Long,-4.3787,Lat,54.89,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.99,1.31,4.3,2.38,2.69,2.43,2.26,4.61,6.39,3.07,2.83,5.45,3.74,2.56,4.85,1.98,4.18,2.53,3.14,1.8,4.97,7.23,3.28,3.86,4.12,2.4,5.52,4.04,6.59,6.77,,,,,,,,,
February,,,1.54,5.81,4.77,1.34,1.87,2.4,3.71,2.84,5.05,1.12,3.29,3.48,3.79,2.66,2.75,2.62,2.47,3,6.27,3.44,3.52,1.58,5.14,7.52,3.33,1.12,6.05,1.25,3.55,0.73,,,,,,,,,
March,,,0.74,1.94,1.7,3.62,4.5,6.41,0.98,3.09,0.48,3.3,2.15,6.19,2.62,3.64,2.84,3.71,4.32,2.56,2.81,1.3,5.18,4.54,5.19,1.95,1.6,2.64,2.01,4.79,5,5.29,,,,,,,,,
April,,,0.85,1.28,2.31,2.22,1.65,2.75,2.46,3.98,2.65,3.65,1.69,1.58,2.48,2.79,1.03,3,2.12,2.57,2.15,4.18,0.8,3.44,1.74,3.36,3.19,2.18,0.68,2.55,2.99,1.33,,,,,,,,,
May,,,5.21,1.53,2.59,0.68,0.53,1.67,3.36,3.8,3.54,1.59,2.92,3.06,1.7,2.02,6.12,3.31,3.14,2.1,2.29,2.05,1.66,3.54,2.3,1.43,4.06,3.65,2.52,0.97,3.76,2.23,,,,,,,,,
June,,,3.96,1.02,3.49,1.19,3.68,5.07,2.6,3.81,3.56,3.07,1.85,2.64,2.2,2.36,2,6.94,2.83,4.47,2.1,2.49,6.65,1.99,0.86,1.35,1.89,2.03,1.53,2.27,2.86,0.42,,,,,,,,,
July,,,2.05,4.18,1.9,4.72,6.27,2,0.76,3.82,2.99,1.16,4.3,6.99,3.24,1.6,3.21,3.8,3.66,5.8,3.36,2.3,2,0.82,3.12,3.3,3.7,1.14,3.15,0.76,4.48,5.67,,,,,,,,,
August,,,6.31,4.09,3.75,6.92,2.56,5.77,5.02,1.94,4.9,4.62,3.37,4.51,6.15,4.35,4.57,4.61,3.9,1.94,6.86,2.16,4.28,1.3,4.25,3.16,2.85,5.28,3.31,2.56,3.08,5.48,,,,,,,,,
September,,,3.45,1.66,0.38,0.67,4.73,3.59,4.48,4.12,3.19,3.42,4.15,4.23,2.61,2,1.46,1.23,4.48,2.34,1.33,1.89,2.29,3.35,1.07,0.81,1.8,3.21,6.53,2.41,3.2,3.86,,,,,,,,,
October,,,3.64,3.49,5.28,3.77,3.61,2.02,3.7,2.64,5.32,6.5,2.63,8.72,3.46,3.17,6.62,7.64,2.5,8.65,3.7,3.65,5.52,3.22,2.39,5.07,7.06,7.36,5.56,1.85,4.47,3.79,,,,,,,,,
November,,,3.95,1.69,4.89,4.47,2.12,4.23,4.57,4.5,6.08,4.02,4.92,3.13,4.06,5.19,3.56,4.12,3.3,1.48,6.07,5.33,2.9,5.14,4.26,2.72,4.18,4.4,5.79,2.81,3.26,3.76,,,,,,,,,
December,,,2.43,4.9,4.81,4.11,5.87,7.04,4.35,6.73,4.78,5.57,5.09,4.05,3.42,2.66,5.7,5.12,6.74,6.1,6.83,10.29,5.78,3.23,6.96,7.09,4.99,4.16,7.42,8.88,4.56,5.66,,,,,,,,,
Total,,,37.12,32.9,40.17,36.09,40.08,45.38,38.25,45.88,48.93,41.09,39.19,54.03,39.47,35,44.71,48.08,43.64,43.54,46.91,40.88,45.55,39.38,40.56,41.62,42.77,39.57,50.07,35.14,47.8,44.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
