UTTOXETER-DEARNDALES,,,,,,,,,,,,,,,,,,,,
Grid ref,SK076323,Long,-1.8884933,Lat,52.888103,Elevation,429,ft.,,,,,,,,,,,,
Station no,RR4235,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.59,1.52,1.59,2.49,0.94,,,,,,,,
February,,,,,,,,1.78,1.95,0.79,2.71,1.84,,,,,,,,
March,,,,,,,,1.52,2.79,2.57,0.9,1.7,,,,,,,,
April,,,,,,,,1.83,2.54,2.51,2.68,1.56,,,,,,,,
May,,,,,,,,3.68,3.59,1.68,2.58,0.6,,,,,,,,
June,,,,,,,,4.09,2.37,2.89,1.66,2.51,,,,,,,,
July,,,,,,,,4,3.09,3.95,3.22,0.38,,,,,,,,
August,,,,,,,,3.62,4.07,2.28,4.25,1.64,,,,,,,,
September,,,,,,,,1.11,2.91,3.04,0.26,2.06,,,,,,,,
October,,,,,,,,4.15,1.43,4.74,1.84,2.14,,,,,,,,
November,,,,,,,,2.93,1.96,0.71,5.97,2.52,,,,,,,,
December,,,,,,,,3.06,2.06,5.42,5,4.67,,,,,,,,
Total,,,,,,,,33.36,30.28,32.17,33.56,22.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Stafford Road at the correct altitude. Dearndales was apparently on Stafford Road. Gauge moved to Greenfields at the end of 1911.,,,,,,,,,,,,,,,,,,,,
