HIGHBRIDGE (MARK),,,,,,,,,,,,
Grid ref,ST350481,Long,-2.932268,Lat,51.228371,,,,,,,
Station no,2016/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.87,0.40,1.50,4.11,2.09,3.58,1.49,4.10,2.97,,
February,,0.68,1.90,2.64,2.34,0.33,3.28,3.06,0.20,2.28,,
March,4.01,2.98,0.66,3.19,0.61,0.46,2.30,0.88,3.34,1.49,,
April,4.00,1.82,3.14,0.41,1.41,0.80,0.02,0.64,2.18,2.32,,
May,2.42,3.94,1.42,1.81,2.98,0.70,1.34,2.72,1.05,1.25,,
June,0.61,2.22,2.58,3.33,2.60,1.59,2.70,4.29,1.51,1.47,,
July,,0.84,4.50,3.51,0.33,2.59,3.20,3.71,2.38,5.03,,
August,4.59,6.44,3.14,1.93,0.58,3.34,2.72,3.95,1.57,3.03,,
September,3.21,3.28,3.44,4.32,2.76,3.48,3.41,4.16,0.25,3.36,,
October,1.20,3.88,2.27,2.86,2.00,1.80,2.42,2.89,2.76,9.09,,
November,6.83,5.66,2.41,5.83,3.63,0.58,2.28,2.75,4.86,3.23,,
December,2.10,2.79,0.66,2.90,4.18,3.55,1.79,2.89,5.35,3.13,,
Total,,37.40,26.52,34.23,27.53,21.31,29.04,33.43,29.55,38.65,,
Calc annual,28.97,37.40,26.52,34.23,27.53,21.31,29.04,33.43,29.55,38.65,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
