MAYFIELD-CRANESDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5858026260,Long,0.25930726,Lat,51.01386,Elevation,345,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,562/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,7.14,2.32,3.85,3.1,6.95,2.33,2.37,2.63,2.75,6.11,1.75,1.45,4.03,3.42,1.2,1.19,4.31,4.97,3.21,3.51,3.06,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.97,2.97,3.96,0.9,1.8,1.25,2.28,3.43,2.39,1.76,1.59,5.72,7.14,1.01,1.64,1.03,2.36,0.62,5.33,3.01,0.01,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.97,3.37,3.04,4.54,0.46,0.08,2.06,2.06,7.07,0.92,1.14,1.84,4.48,3.9,0.28,5.09,1.35,1.14,1.81,2.03,2.11,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.04,1.66,2.02,1.42,1.83,1.83,0.99,1.97,2.01,1.31,1.69,2.4,2.52,2.17,2.49,0.53,0.31,1.35,0.33,1.12,2.56,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.53,1.69,2.33,3.74,3.01,0.65,3.41,2.94,1.56,2.81,1.9,1.54,1.86,1.2,1.4,1.97,3.93,0.54,1.58,2.36,0.51,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.48,0.18,2.12,0.24,1.75,1.59,1.45,2.61,2.76,3.05,1.28,1.09,1.84,1.53,1.75,3.53,2.4,3.1,1.31,4.89,0.72,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.17,4.19,4.13,2.37,2.18,2.04,2.87,2.26,1.66,1.81,0.13,3.18,2.13,0.89,3.75,4.7,1.95,3.79,,2.03,2.42,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.16,0.03,4.95,2.89,1.74,3.07,2.49,6.99,0.11,4.43,1.74,3.06,5.6,3.36,2.81,4.21,1.11,4.03,,5.78,1.07,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.82,2.05,0.58,2.64,1.36,2.76,2.07,3.01,1.44,2.15,3.49,3.28,3.65,4.45,4.93,3.22,2.04,3.24,,3.85,0.09,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,7.36,4.96,1.73,3.49,3.3,5.03,3.6,1.07,0.57,2.45,8.43,0.53,1.68,4.27,3.46,2.99,4.88,1.57,,4.38,3.47,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
