PENISTONE-ROYD-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE222045,Long,-1.6665131,Lat,53.536685,Elevation,835,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3167/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.22,3.36,5.32,6.57,4.32,5.25,4.27,8.77,2,2.44,3.83,4.17,0.95,3.06,3.32,5.67,2.35,3.89,4.08,6.75
February,,,,,,,,,,,5.03,1.23,3.03,2.24,4.11,5.61,4.37,2.88,2.53,7.24,4.56,1.2,2.34,3.66,3.47,1.66,3.13,5.12,0.16,3.19
March,,,,,,,,,,,5.63,2.34,1.8,0.6,1.12,2.06,6.72,1.39,1.2,1.47,4.9,2.02,2.33,2.59,3.04,1.46,2.06,2.88,1.42,2.56
April,,,,,,,,,,,2.59,1.75,2.75,2.24,2.29,2.11,4.72,2.2,3.79,3.67,2.14,1.82,2.69,0.58,0.67,2.7,0.36,0.79,5.63,1.66
May,,,,,,,,,,,2.48,3.57,2.96,2.56,4.93,2.67,3.11,1.55,2.4,2.7,4.78,2.38,2.31,4.09,3.56,0.81,1.1,3.42,0.97,2.17
June,,,,,,,,,,,1.02,1.09,2.02,1.8,3.04,3.6,2.45,3.78,0.61,0.88,1.28,1.61,3.47,1.54,2.5,3.48,1.06,4.74,2.22,1.62
July,,,,,,,,,,,1.83,3.19,1.51,2.59,1.69,3.17,1.89,1.26,4.78,1.98,2.64,1.82,3.8,2.84,0.78,6.58,2.62,5.54,2.15,3.85
August,,,,,,,,,,,3.73,4.66,3.26,3.55,3.22,4.21,0.42,4.9,2.03,3.65,4.7,2.32,3.5,5.6,0.6,6.74,6.23,3.92,0.91,4.45
September,,,,,,,,,,,0.4,1.82,4.06,5.05,1.52,5.7,1.56,1.41,1.4,4.59,2.21,3.26,2.48,3.23,1.18,3.96,4.5,4.25,0.12,3.6
October,,,,,,,,,,,4.82,3.81,2.36,4.29,6.18,1.52,1.02,1.86,3.85,1.98,1.08,5.96,1.95,5.01,2.2,2.25,2.84,2.94,3,8.53
November,,,,,,,,,,,3.66,1.4,3.11,6.98,0.54,7.44,4.33,1.16,5.52,5.91,8.76,2.16,2.91,7.39,2.27,1.56,2.67,1.02,4.82,5.51
December,,,,,,,,,,,1.88,2.76,1.8,4.32,2.68,3.81,4.24,3.85,6.91,2.44,5.95,3.12,1.7,5.42,4.37,4.95,4.53,4.63,7.12,5.28
Total,,,,,,,,40.6,42.4,37.02,37.29,30.98,33.98,42.79,35.64,47.15,39.1,35.01,37.02,38.95,46.83,31.84,30.43,45.01,27.96,41.82,33.45,43.14,32.6,49.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is beside Royd Moor reservoir at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2752, continues to 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930s record sheet missing, annual totals for 1938 to 1940 taken from British Rainfall report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
