LOWESWATER LAKE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY131213,Long,-3.3449,Lat,54.5797,Elevation,336,ft,,,,,,,,,,,,
Station no,RR1378,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,7.1,7.06,3.13,5.18,10.55,4.13,15.05,14.86,13.23,,,,,,
February,,,,,,1.9,4.52,3.4,12.97,2.74,8.78,6.6,6.56,3.51,,,,,,
March,,,,,,5.81,8.67,1.46,5.71,2.13,2.37,4.35,0.28,1.97,,,,,,
April,,,,,,4.86,4.4,4.18,1.63,2.21,5.25,3.51,0.66,4.59,,,,,,
May,,,,,,2.63,2.51,4.1,1.18,3.21,2.94,1.92,5.37,0.79,,,,,,
June,,,,,,4.95,5.01,4.23,6.24,1.72,6,4.54,5.03,2.78,,,,,,
July,,,,,3.42,5.27,13.43,1.11,7.43,8.15,8.26,6.82,4.58,8.37,,,,,,
August,,,,,5.56,8.86,5.42,6.57,7.79,4.9,7.84,6.61,7.24,4.83,,,,,,
September,,,,,6.19,4.58,2.91,6.59,3.76,3.22,3.11,2.97,2.74,4.94,,,,,,
October,,,,,7.12,7.45,13.49,8.84,8.13,7.06,6.05,8.77,5.48,8.1,,,,,,
November,,,,,3.05,6.96,7.74,14.23,6.55,6.27,9.54,2.93,8.03,5.84,,,,,,
December,,,,,0.31,9.17,4.09,8.46,10.1,3.12,4.53,3.03,19.7,0.66,,,,,,
Total,,,,,49.83,69.54,79.25,66.3,76.67,55.28,68.8,67.1,80.53,59.61,,,,,,
,,,,,,,,,,,,,,,,,,,,
1846 Mar 8.67,,,,,,,,,,,,,,,,,,,,
1849 July 8.15,,,,,,,,,,,,,,,,,,,,
1852 Jan 14.86,,,,,,,,,,,,,,,,,,,,
NGR medium confidence set at Swan's Nest at head of Loweswater. Water surface much higher on maps 399' 1896,,,,,,,,,,,,,,,,,,,,
