"SOUTHWOLD",,,,,,,,,,,,
Grid ref,TM507758,Long,1.677466,Lat,52.322985,,,,,,,
Station no,RR1735,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.94,3.58,,
February,,,,,,,,,0.44,1.00,,
March,,,,,,,,,1.20,1.83,,
April,,,,,,,,,1.48,0.62,,
May,,,,,,,,,1.12,0.34,,
June,,,,,,,,,0.50,0.86,,
July,,,,,,,,,1.55,2.59,,
August,,,,,,,,,0.89,3.85,,
September,,,,,,,,,0.03,3.49,,
October,,,,,,,,,2.05,9.84,,
November,,,,,,,,,2.50,3.15,,
December,,,,,,,,,3.92,3.26,,
Total,,,,,,,,,17.62,34.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.62,34.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
