"SOUTHWOLD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1735,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,1.29,1.81,1.08,2.41,1.39,3.74,0.82,1.55,
February,,,,2.89,1.77,2.08,2.01,2.03,1.08,0.32,1.09,
March,,,,1.23,0.40,1.28,0.30,2.21,0.98,0.07,0.96,
April,,,,0.81,2.05,1.91,2.73,1.78,1.57,0.90,1.79,
May,,,,1.09,3.61,2.19,1.17,0.56,2.14,0.82,2.00,
June,,,,0.80,2.22,0.50,2.60,4.60,1.79,0.49,0.81,
July,,,,1.63,1.99,1.23,1.87,2.16,2.50,2.10,3.39,
August,,,,1.94,2.48,1.90,1.65,3.28,1.87,1.20,3.24,
September,,,,1.35,3.59,2.98,0.83,3.14,1.02,0.28,3.92,
October,,,,3.64,3.96,2.31,2.68,1.72,1.80,2.94,0.46,
November,,,,3.01,1.23,3.55,3.39,3.53,2.92,4.00,3.54,
December,,,,2.51,2.37,2.29,0.63,3.12,2.51,3.58,2.05,
Total,,,,22.19,27.48,23.30,22.27,29.52,23.92,17.52,24.80,
Calc annual,0.00,0.00,0.00,22.19,27.48,23.30,22.27,29.52,23.92,17.52,24.80,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
