SHANKLIN-VICTORIA-AVENUE,,,,,,,,,,
Grid ref,SZ580812,Long,-1.18054,Lat,50.62801,Elevation,170,ft,,
Station no,595/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.09,1.35,1.86,4.44,5.19,3.3,5.23,4.34,4.76
February,,0.66,1.47,4.09,2.03,0.36,5.1,3.56,0.42,2.81
March,,3.77,0.35,3.92,1.18,0.38,2.48,1.59,2.42,2.6
April,,1.91,1.57,0.35,0.44,1.83,0.26,0.48,2.95,1.28
May,,1.87,3.04,2.43,3.67,0.36,0.99,3.2,0.7,2.05
June,,1.12,1.76,2.87,4.33,2.96,2.87,3.12,0.66,1.83
July,,0.5,3.56,4.82,0.77,2.18,5.01,1.72,2.23,3.91
August,,2.23,1.84,3.46,1.51,5.14,3.85,4.61,2.43,5.91
September,,5.35,3.55,4.13,2.26,4.97,5.14,4.22,0.23,5.75
October,,4.73,3.33,3.88,2.73,1.66,3.33,3.11,4.83,9.11
November,,5.8,2.05,6.26,2.11,0.89,2.84,3.13,4.31,8.07
December,,4.16,0.92,4.12,6.16,6.29,3.33,4.97,9.05,5.92
Total,,35.19,24.79,42.19,31.63,32.21,38.5,38.94,34.57,54
,,,,,,,,,,
1960 Jan 21 Inspection Poor site with many trees and houses Recommend moving to top of garden,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7716,,,,,,,,,,
1952-1974,,,,,,,,,,
