MALMESBURY-PINKNEY-PARK,,,,,,,,,,,
Grid ref,ST864861,Long,-2.1976348,Lat,51.573601,Elevation,350,ft,,,
Station no,1499/6,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.4,3.44,,,,,,,,,
February,1.29,0.57,,,,,,,,,
March,2.94,2.2,,,,,,,,,
April,5.18,0.92,,,,,,,,,
May,2.59,2.31,,,,,,,,,
June,4.02,0.21,,,,,,,,,
July,4.46,0.94,,,,,,,,,
August,1.37,2.08,,,,,,,,,
September,1.77,3.16,,,,,,,,,
October,2.34,1.73,,,,,,,,,
November,1.6,3.16,,,,,,,,,
December,3.66,2.19,,,,,,,,,
Total,35.62,22.91,,,,,,,,,
