CULLOMPTON-STRATH-CULM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS991023,Long,-3.4332,Lat,50.8115,Elevation,159,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.97,4.11,5.53,4.03,3.15,4.41,2.21,3.09,5.76,4.85,3.68,4.54,0.92,5.6,1.27,4.32,0.79,1.76,1.58,,,,,,,
February,,,,,1.78,4.16,3.92,2.82,1.06,2.29,1.76,1.47,3.78,2.11,2.74,2.3,3.96,2.37,1.29,4.62,4.31,4.28,1.07,,,,,,,
March,,,,,2.77,2.2,3.59,3.72,2.39,1.61,2.88,0.86,2.15,4.08,1.03,1.78,5.51,2.82,1.34,0.53,1.94,3.15,0.8,,,,,,,
April,,,,,1.37,0.58,2.14,3.25,1.71,0.95,,4.71,2.46,1.16,1.71,1.79,2.54,6.13,4.01,3.39,1.73,1.01,3.97,,,,,,,
May,,,,,1.03,3.12,1.71,3.57,1.18,7.45,,0.56,2.06,1.23,0.91,2.25,0.5,2.44,3.91,2.37,0.72,1.1,1.02,,,,,,,
June,,,,,1.19,1.4,2.57,0.64,0.45,0.23,,2.3,3.01,1.34,1.89,2.79,0.89,0.67,2.62,4.95,2.44,3.57,3.43,,,,,,,
July,,,,,0.68,2.58,1.21,4.66,0.78,0.23,,4.16,4.32,2.25,1.73,5.48,0.62,3.33,0.59,4.8,3.89,2.33,4.21,,,,,,,
August,,,,,1.11,5.05,2.65,1.06,3.17,0.19,3.19,0.96,1.05,4.76,2.65,2.79,2.77,3.36,4.04,4.88,0.69,5.89,3.01,,,,,,,
September,,,,,2.72,0.01,8.85,1.88,3.92,3.79,0.51,3.28,3.64,2.38,5.87,3.76,7.16,1.69,2.06,2.6,2.58,1.74,3.86,,,,,,,
October,,,,,2.26,5.21,3.17,3.69,2.94,2.47,4.58,3.19,4.7,1.99,5.58,7.77,4.03,1.57,3.79,1.66,4.14,2.67,7,,,,,,,
November,,,,,2.98,4.07,2.03,0.42,1.68,3.07,2.07,1.05,5.03,4.51,3.98,5.67,4.51,5.61,3,0.32,2.32,2.45,4.64,,,,,,,
December,,,,,3.07,3.67,2.62,2.9,7.66,3.64,1.57,2.27,6.16,0.68,4.49,0.79,7.54,2.03,3.07,1.1,4.87,3.32,4.62,,,,,,,
Total,,,,,22.93,36.16,39.99,32.64,30.09,30.33,,27.9,44.12,31.34,36.26,41.71,40.95,37.62,30.99,35.54,30.42,33.27,39.21,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strath Culm House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 Note says 'I cannot believe these figures for Apr-July',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1870 Apr-July original values 0.00, 0.09, 0.00, 0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
