MUSBURY (ASHE HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1818/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,6.30,5.04,8.86,2.84,3.25,4.47,,,,,,
February,5.07,0.29,1.05,0.65,2.58,3.20,,,,,,
March,2.74,2.62,1.48,0.10,1.26,1.67,,,,,,
April,2.08,1.81,1.17,2.28,0.71,2.16,,,,,,
May,2.06,6.79,2.88,1.02,4.29,4.74,,,,,,
June,1.41,0.94,1.81,2.38,3.36,,,,,,,
July,1.67,2.04,2.61,3.16,2.20,,,,,,,
August,4.56,4.05,3.09,3.17,2.01,,,,,,,
September,2.20,3.01,2.94,1.73,2.31,,,,,,,
October,0.84,4.79,5.35,5.65,5.30,,,,,,,
November,3.02,1.35,2.28,6.86,2.94,,,,,,,
December,2.61,5.07,3.72,3.25,6.48,,,,,,,
Total,34.06,37.80,37.24,33.09,36.69,,,,,,,
Calc annual,34.56,37.80,37.24,33.09,36.69,16.24,0.00,0.00,0.00,0.00,,
Difference,-0.50,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
