MUSBURY-ASHE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY278959,Long,-3.0242,Lat,50.75823,Elevation,116,ft,,,,,,,,,,,,
Station no,1818/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,8.59,5.46,8.32,2.58,6.3,5.04,8.86,2.84,3.25,4.47,,,,
February,,,,,,,7.75,1.61,2.82,5.51,5.07,0.29,1.05,0.65,2.58,3.2,,,,
March,,,,,,,5.13,0.22,1.24,3.64,2.74,2.62,1.48,0.1,1.26,1.67,,,,
April,,,,,,,3.26,0.07,3.9,2.56,2.08,1.81,1.17,2.28,0.71,2.16,,,,
May,,,,,,,3.61,2.95,1.9,2.91,2.06,6.79,2.88,1.02,4.29,4.74,,,,
June,,,,,,,1.08,1.93,2.94,0.69,1.41,0.94,1.81,2.38,3.36,,,,,
July,,,,,,,3.84,4.35,6.5,2.71,1.17,2.04,2.61,3.16,2.2,,,,,
August,,,,,,,1.02,2.91,2.21,0.07,4.56,4.05,3.09,3.17,2.01,,,,,
September,,,,,,,2.96,2.27,1.06,2.03,2.2,3.01,2.94,1.73,2.31,,,,,
October,,,,,,,4.05,4.57,4.31,5.33,0.84,4.79,5.35,5.65,5.3,,,,,
November,,,,,,,3.26,6.94,7.03,8.19,3.02,1.35,2.28,6.86,2.94,,,,,
December,,,,,,,5.06,4.58,3.02,3.38,2.61,5.07,3.72,3.25,6.48,,,,,
Total,,,,,,,49.61,37.86,45.25,39.6,34.06,37.8,37.24,33.09,36.69,,,,,
,,,,,,,,,,,,,,,,,,,,
1941 Total matches BR Calculation on sheet suggests adding 1.1 to July value of 0.07 to get correct total,,,,,,,,,,,,,,,,,,,,
1946 Observer moved to Lyme Regis Penard Stn No 1591,,,,,,,,,,,,,,,,,,,,
