LOCH A CHOIRE BHEITHE,,,,,,,,,,
Grid ref,NG986036,Long,-5.324702,Lat,57.079223,Elevation,700,ft,,
Station no,5710/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6,7.04
February,,,,,,,,,9,10.16
March,,,,,,,,,7.5,1.27
April,,,,,,,,,8.66,10.77
May,,,,,,,,,4.04,3.85
June,,,,,,,,,9.86,5.5
July,,,,,,,,,13,5.5
August,,,,,,,,6.5,8.13,7.53
September,,,,,,,,6.73,4.5,7.02
October,,,,,,,,16,13.1,2.04
November,,,,,,,,3.22,13.67,9.71
December,,,,,,,,9.11,15.87,14
Total,,,,,,,,,113.33,84.39
,,,,,,,,,,
Station no,5710/3,,,,,,,,,
Midas,14618,,,,,,,,,
Hyd Stn,798472,,,,,,,,,
