"LOCH A CHOIRE BHEITHE",,,,,,,,,,,,
Grid ref,NG986036,Long,-5.324702,Lat,57.079223,,,,,,,
Station no,5710/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,6.00,7.04,,
February,,,,,,,,,9.00,10.16,,
March,,,,,,,,,7.50,1.27,,
April,,,,,,,,,8.66,10.77,,
May,,,,,,,,,4.04,3.85,,
June,,,,,,,,,9.86,5.50,,
July,,,,,,,,,13.00,5.50,,
August,,,,,,,,6.50,8.13,7.53,,
September,,,,,,,,6.73,4.50,7.02,,
October,,,,,,,,16.00,13.10,2.04,,
November,,,,,,,,3.22,13.67,9.71,,
December,,,,,,,,9.11,15.87,14.00,,
Total,,,,,,,,,113.33,84.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.56,113.33,84.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
