RIVER MEIG (CORRIEFEOL),,,,,,,,,,,,
Grid ref,NH203509,Long,-5.001628,Lat,57.512513,,,,,,,
Station no,5770/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.51,3.93,,
February,,,,,,,,,3.77,4.08,,
March,,,,,,,,,3.55,0.62,,
April,,,,,,,,,5.37,5.18,,
May,,,,,,,,,2.10,1.34,,
June,,,,,,,,,3.83,3.39,,
July,,,,,,,,,5.91,3.34,,
August,,,,,,,,,4.33,5.61,,
September,,,,,,,,3.76,1.57,3.02,,
October,,,,,,,,8.47,8.23,2.29,,
November,,,,,,,,2.18,7.34,3.28,,
December,,,,,,,,6.19,9.08,8.22,,
Total,,,,,,,,,59.59,44.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,59.59,44.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
