"DORKING (BRAMERTON)",,,,,,,,,,,,
Grid ref,TQ164483,Long,-0.334575,Lat,51.222038,,,,,,,
Station no,112,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.27,3.08,1.43,,,,,,,,,
February,7.93,0.85,2.03,,,,,,,,,
March,4.16,3.40,0.57,,,,,,,,,
April,3.33,1.96,3.10,,,,,,,,,
May,2.78,2.55,2.38,,,,,,,,,
June,1.06,1.76,1.89,,,,,,,,,
July,2.27,0.77,4.15,,,,,,,,,
August,4.64,3.61,1.78,,,,,,,,,
September,3.13,2.59,3.60,,,,,,,,,
October,1.93,3.39,4.29,,,,,,,,,
November,8.97,3.03,1.84,,,,,,,,,
December,3.69,2.94,0.86,,,,,,,,,
Total,48.16,29.93,27.92,,,,,,,,,
Calc annual,48.16,29.93,27.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
