STEVENSTON (GREENHEAD FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS273437,Long,-4.746592,Lat,55.656035,Elevation,186,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,0.51,3.35,6.18,5.27,3.1,3.25,3.3,2.4,3,4.75,2.25,2.1,1.6,5.08,1.45,2.8,1.2,3.3,5.4,6.1,2.25,2.4,6.8,4.4,2.85,4.2,3.1,5.6,3.7,4.7,3.24,2.71,3.42,3.67,3.72,4.48,2.84,5.13,4.3,4.85,6.54,3.21,4.26,4.97,4.36,4.99,5.55,8.77,1.91,4.67,4.3,5.67,2.99,3.86,2.7,4.77,4.13,5.92,4.02,2.86,0.93,7.12,4.07,4.33,3.81,4.69,4.82,6.75,5.14,3.02,4.48,4.9,2.52,4.44,2.43,3.36,3.73,5.3,1.6,3.77
February,,5.43,3.07,3,3.05,4.15,1.3,2.8,0.9,2.15,0.7,0.45,0.5,3.8,6.75,0.28,2.4,4,4.95,2.95,3.5,2.5,2.3,4.5,4.1,3.9,3.3,3.6,3.2,2.5,11.7,5.11,3.51,2.64,3.63,4.66,4.77,1.23,5.5,1.23,4.9,1.58,5.36,4.42,1.37,3.32,5.75,2.85,3.49,2.43,0.15,3.72,0.01,2.6,0.8,4.11,2.48,5.5,1.93,5.02,2.84,2.28,1.75,4.15,1.41,5.33,2.49,0.49,3.63,3.96,3.55,2.73,1.5,1.45,3.63,2.51,1.41,2.03,3.95,1.92,3.73
March,,4,4,1.29,2.45,2.44,1.6,1.9,2.85,2.2,2.45,2.4,0.25,1.85,3.5,3.3,5.75,3.7,2.35,3.65,0.4,1.3,2.4,6.7,2.3,4.8,2.3,6,4.4,1.8,1.8,1.91,5.06,3.44,4.59,1.66,1.57,2.19,1.83,2.79,3.93,5.38,1.89,1.91,0.79,2.63,2.55,3.58,3.32,1.44,3,1.45,2.84,1.9,2.31,1.97,2.66,1.06,3.39,3.85,3.7,2.46,4.03,2.08,0.6,2.32,1.94,3.44,3.21,2.29,2.64,3.12,1.85,1.01,2.53,1.27,2.24,4.52,1.26,2.26,2.41
April,,1.15,3.11,2.09,0.85,2.45,1.55,2.94,1.8,2.5,1.2,0.55,0.6,2.75,2.2,2.45,3.15,2.3,2.7,4.1,2.8,3.4,2.3,1.8,4.4,2.7,1.2,2.7,1.8,3.7,3.54,2.83,1.69,3.04,2.39,2.92,3.64,1.58,0.38,1.99,1.55,1.11,2.95,3.82,2.83,4.12,2.22,3.05,1.39,1.64,2.3,1.73,3.47,2.01,2.52,3.42,1.28,1.93,0.35,2.17,2.68,2,1.84,3.26,2.43,2.27,2.11,4.21,2.77,4.95,3.18,1.82,1.37,1.17,1.41,2.89,1.33,2.09,1.62,2.72,3.76
May,,3.11,1.75,2.13,4.3,2.63,3.04,2.05,4,3.6,3.45,2.3,6,2.25,3.15,0.5,1,1.9,3.5,4.8,3.3,1.7,2.7,3.1,2.9,2.1,5.2,4.5,3.3,1.5,2.6,2.42,1.66,3.03,1.7,1.23,3.4,4.01,2.97,1,5.04,3.15,3.74,1.06,4.87,6.64,3.24,2.63,2,2.63,1.77,3.49,2.9,3.12,2.74,0.8,2.73,1.46,3.15,1.24,1.09,3.44,2.61,3.27,3.01,4.32,1.15,5.57,1.69,2.3,2.05,2.08,1.68,2.52,2.81,3.49,2.14,2.49,3.06,1.33,2.51
June,,3.17,4.05,2.5,0.91,1.25,1.38,1.24,3.05,1.15,3.5,1.1,3.9,1.34,3.34,2.35,5.4,11.95,2.75,2.15,2.8,3.9,1.7,2.6,2.1,1.2,1.3,5.2,2.5,2.5,2.19,2.35,4.79,2.36,0.84,1.77,2.02,3.65,1.5,5.37,2.07,1.04,2.51,1.63,2.93,0.82,2.42,4.83,4.89,3.13,2.35,5.42,1.61,2.34,2.63,4.36,1.87,3.22,4.52,2.24,0.75,1.09,1.74,3.31,3.27,3.53,2.44,4.29,5.59,1.13,2.04,1.97,3.52,1.42,3.4,3.14,2.61,2.17,2.78,3.84,3.07
July,,3.01,4.3,2.9,5.35,1.95,3.2,2.75,5.15,3.25,4.3,0.2,2.5,4.1,3.75,6.45,5.8,2.65,1.65,4.5,3.45,1.4,4.9,4.1,3.1,3.1,3.7,3.2,4,4.7,3.78,2.8,2.47,1.94,2.19,3.18,2.76,1.15,3.81,0.97,4.03,4.84,2.74,4.46,3.53,1.76,3.31,3.88,2.43,4.06,3.45,4.34,3.31,3.67,2.41,2.03,5.97,4.73,5.08,6.78,2.3,3.98,4.08,2.3,4.09,3,3.5,3.31,3.61,1.97,6.32,2.67,2.86,4.79,4.3,1.21,5.61,5.28,4.95,5.3,5.43
August,,3.41,3.2,4.3,3.78,3.46,2.5,3,2.25,5,3.33,2.15,10,4.7,3.75,6.2,2.6,6.6,6.2,2.55,5,5.5,2.35,7.4,5.9,4.1,5.05,5.5,2.8,2.8,6.95,2.74,3.05,1.56,3.91,2.23,4.31,3.41,2.45,3.3,6.3,5.6,3,6.21,3.66,3.2,4.3,4.15,3.84,6.22,5.5,1.88,3.07,3.52,4,1.65,3.28,3.56,2.64,2.68,2.48,3.86,5.41,7.52,2.91,1.95,1.93,0.09,5.47,5.71,4.28,3.93,4.91,2.91,5.74,1.36,6.12,3.89,4.7,0.87,4.74
September,,2.15,3.99,2.15,3.46,5.4,5.35,4.3,2.3,1.95,3.8,5.45,4.75,3.32,0.1,1.15,4.8,4.25,5.2,5.9,3.25,4.2,4.3,4.25,4.75,3.3,2.3,2.6,6,1.9,2.05,2.11,3.83,2.56,2.32,1.39,1.52,2.22,5.9,2.78,2.76,2.33,2.79,6.6,4.68,3.23,3.59,5.55,3.31,1.6,3.81,1.48,4.83,0.83,5.54,5.41,5.41,2.5,3.89,3.24,5.46,1.94,5.22,2.8,6.55,3.8,7.22,4.22,6.61,1.85,8.8,3.71,2.95,4.57,5.83,4.83,4.49,3.77,3.61,1.54,4.62
October,,2.1,4.4,4,4.4,3.62,3.5,1.2,1.2,3.85,2.85,4.2,4,6.2,4.65,4.3,3.9,2.75,3.9,4.7,8,5.7,2.7,8.8,2.5,4,6.3,6.8,1.6,8.2,1.8,3.19,4.7,2.29,2.25,3.14,5.77,7.62,5.76,1.39,2.28,4.6,2.2,4.99,3.33,4.4,6.19,5.71,6.39,5.36,6.97,3.26,6.46,3.21,7.51,8.02,4.82,3.21,9.03,1.97,4.57,4.36,5.12,6.34,5.8,6.25,0.69,2.4,6.9,6.84,3.4,1.1,4.87,3.19,9.48,2.23,2.68,5.06,4.14,5.73,3.05
