WELLS-WESTBURY-(VICARAGE),,,,,,,,,,,,,
Grid ref,ST501488,Long,-2.71585,Lat,51.23652,Elevation,145,ft,,,,,
Station no,RR8796,,,,,,,,,,,,
,,,,,,,,,,,,,
,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.5,0.54,2.85,2.51,,,,,,,,
February,,1.18,2.17,1.04,0.01,,,,,,,,
March,,3.11,3.59,1.54,2.68,,,,,,,,
April,,2.45,3.54,2.62,1.23,,,,,,,,
May,,1.13,4.07,1.48,,,,,,,,,
June,0.93,3.01,0.68,4.05,,,,,,,,,
July,1.22,8.76,2.73,4.46,,,,,,,,,
August,1.54,2.36,4.47,2.92,,,,,,,,,
September,3.03,1.22,1.31,1.55,,,,,,,,,
October,2.96,1.55,3.92,2.05,,,,,,,,,
November,3.11,6.25,1.89,3.07,,,,,,,,,
December,2.78,3.25,2.19,1.51,,,,,,,,,
Total,,35.77,31.1,29.14,,,,,,,,,
,,,,,,,,,,,,,
Vicarage,,,,,,,,,,,,,
1887 May 24 Gauge moved 300yds NNE,,,,,,,,,,,,,
