WEM-SENIOR-SCHOOLS-OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ515292,Long,-2.7217577,Lat,52.858093,Elevation,260,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2309/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.71,2.6,1.39,2.41,2.6,3.51,4.11,2.14,3,2.19,4.59,3.04,2.3,2.55,2.2,6.94,1.49,0.48,1.78,2.42,0.9,2.15,2.87,3.75,1.89,2.25,,
February,,,2.5,0.3,2.64,2.35,4.43,0.61,3.04,2.58,4.15,1.19,1.16,1.36,2.05,2.47,1.07,1.26,1.08,4.96,2.17,0.44,1.38,2.8,1.8,0.41,3.41,3.65,,
March,,,2.28,1.76,0.82,3.47,1.88,0.18,1.97,2.62,1.67,2.01,1.07,0.74,1.02,1.06,6.05,0.94,1.93,1.48,4.39,1.17,0.97,2.06,2.68,0.94,2.09,1.23,,
April,,,0.94,2.13,2.73,2.67,1.78,0.17,1.62,2.92,3.62,1.18,1.64,1.2,1.21,0.75,2.68,1.46,2.28,2.8,1.95,2.66,2.64,0.43,1.28,1.75,0.12,0.42,,
May,,,0.79,1.24,0.66,0.98,1.75,2.19,1.16,2.04,2.42,4.36,3.02,1.16,2.67,2.19,2.54,2.03,1.99,1.04,3.52,2.44,2.37,2.78,4.06,0.49,0.98,2.56,,
June,,,1.31,0.88,3.69,2.18,1.71,2.45,1.59,1.24,1.01,0.41,2.38,1.59,2.16,2.15,1.56,3.71,0.55,1.5,1.17,2.04,2.08,2.89,3.06,1.46,1.97,4.42,,
July,,,1.37,1.04,0.93,3.63,1.74,2.11,4.64,3.61,2.16,3.03,3.65,2.24,1.16,2.16,3.52,2.13,2.11,2.58,1.57,2.3,2.65,2.89,0.4,3.01,4.46,5.91,,
August,,,0.13,2.73,1.87,0.91,1,4.07,1.57,0.26,2.93,3.42,2.19,2.68,,5.05,0.49,3.5,1.42,4.65,3.61,2,1.94,3.82,1.05,6.03,6.09,2.35,,
September,,,0.97,1.58,4.16,5.69,1.53,0.95,0.54,2.01,0.93,1.65,3.35,3.28,1.22,2.66,2.05,1.93,0.94,3.94,2.01,1.8,2.45,1.99,1.85,1.98,6.52,5.92,,
October,,,4.02,3.23,4.57,1.44,3.29,3.93,2.6,4.13,2.95,1.8,2.71,3.52,3.8,0.76,0.48,1.81,3.13,1.13,1.04,4.72,2.64,5.22,1.28,1.86,1.68,2.52,,
November,,,1.09,1.91,4.43,3.73,0.8,2.99,4.01,7.4,3.12,0.93,1.83,4.32,0.45,4.24,2.31,2,2.71,3.7,5.23,2.09,2.29,5.52,1.59,1.27,1.81,1.91,,
December,,,0.64,5.36,2.98,2.85,2.18,2.9,1.57,1.38,1.5,3.73,1.12,1.29,3.42,3.25,1.86,3.31,1.87,1.97,3.22,2.77,1.1,2.48,2.58,2.23,1.05,2.64,,
Total,,,17.75,24.76,30.87,32.31,24.69,26.06,28.42,32.33,29.46,25.9,28.71,26.42,,29.29,26.81,31.02,21.5,30.23,31.66,26.85,23.41,35.03,24.5,25.18,32.07,35.78,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
