"WEM (MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,SJ515292,Long,-2.721758,Lat,52.858093,,,,,,,
Station no,2309/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,2.42,0.90,2.15,2.87,3.75,1.89,2.25,,,,
February,2.17,0.44,1.38,2.80,1.80,0.41,3.41,3.65,,,,
March,4.39,1.17,0.97,2.06,2.68,0.94,2.09,1.23,,,,
April,1.95,2.66,2.64,0.43,1.28,1.75,0.12,0.42,,,,
May,3.52,2.44,2.37,2.78,4.06,0.49,0.98,2.56,,,,
June,1.17,2.04,2.08,2.89,3.06,1.46,1.97,4.42,,,,
July,1.57,2.30,2.65,2.89,0.40,3.01,4.46,5.91,,,,
August,3.61,2.00,1.94,3.82,1.05,6.03,6.09,2.35,,,,
September,2.01,1.80,2.45,1.99,1.85,1.98,6.52,5.92,,,,
October,1.04,4.72,2.64,5.22,1.28,1.86,1.68,2.52,,,,
November,5.23,2.09,2.29,5.52,1.59,1.27,1.81,1.91,,,,
December,3.22,2.77,1.10,2.48,2.58,2.23,1.05,2.64,,,,
Total,31.66,26.85,23.41,35.03,24.50,25.18,32.07,35.78,,,,
Calc annual,31.66,26.85,23.41,35.03,24.50,25.18,32.07,35.78,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
