"BADMINTON GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2195,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.48,3.85,,,,,,,,1.31,5.67,
February,1.31,4.86,,,,,,,,1.25,1.05,
March,3.03,3.38,,,,,,,,0.30,2.44,
April,5.29,1.00,,,,,,,,0.85,2.31,
May,2.50,2.08,,,,,,,,2.34,2.27,
June,2.82,0.26,,,,,,,,1.27,0.32,
July,4.54,,,,,,,,,1.60,3.13,
August,1.38,,,,,,,,,2.94,3.31,
September,1.75,,,,,,,,,0.08,4.45,
October,2.22,1.73,,,,,,,,5.11,3.23,
November,1.77,2.56,,,,,,,,8.96,4.87,
December,3.55,3.09,,,,,,,,8.02,3.96,
Total,34.64,,,,,,,,,34.03,37.01,
Calc annual,34.64,22.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.03,37.01,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
