LUMPHANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ578037,Long,-2.698583,Lat,57.122285,Elevation,476,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.65,2.46,3.71,2.36,1.17,5.7,1.99,1.65,2.1,3.55,2.08,3.3,1.74,1.97,3,1.98,1.45,1.17,1.71,4.86,8.31,2.94,3.79,1.42,4.01,3.57,3.42,1.64,4.1,1.38,4.46,4.48,1.82,1.54,3.42,1.48,1.43,,,,,,,
February,,,,,,,,0.88,1.82,1.88,1.08,0.37,2.97,8.8,2.42,6.92,3.26,1.18,0.7,1.53,2.09,1.64,0.38,3.93,0.66,2.11,4.33,2.56,0.96,2.27,1.74,3.14,1.82,1.3,1.69,1.17,1.6,2.73,1.32,0.87,2.97,4.47,1.24,1.11,,,,,,,
March,,,,,,,,2.57,1.47,1.83,2.32,1.8,2.13,1.5,1.26,2.14,0.8,2.32,3.67,0.16,1.42,1.28,3.15,1.61,3.29,2.37,1.96,4.01,0.26,2.68,2.39,1.68,0.87,0.47,1.14,0.43,2.6,3.59,0.88,2.24,2.2,2.53,2.68,0.25,,,,,,,
April,,,,,,,,1.73,0.62,3.43,2.57,1.36,3.45,2.24,1.6,2.75,2.81,1.6,1.15,1.39,2.49,2.12,3.28,1.54,7.39,4.87,0.76,1.16,0.59,0.98,1.26,2.01,1.62,1.38,1.55,1.4,0.42,2.65,0.97,0.89,2.4,3.54,1.11,3.56,,,,,,,
May,,,,,,,,1.81,1.97,0.57,2.5,2.3,0.96,5.51,5.25,3.38,3.16,2,1.43,1.24,0.97,3.53,4.19,0.46,4.09,2.53,1.57,1.67,2.86,1.21,1.46,1.68,2.41,3.54,1.92,4.48,2.21,3.97,3.8,1.35,1.03,1.2,1.82,1.27,,,,,,,
June,,,,,,,,1.69,1.18,0.86,0.85,1.18,2.22,1.1,1.48,0.7,3.64,3.58,2.75,0.83,1.9,3.55,0.57,1.02,1.17,2.85,1.65,0.76,3.28,2.11,0.83,0.84,1.14,2.21,2.09,3.11,2.8,1.86,4.97,1.54,0.66,1.13,3.34,3.48,,,,,,,
July,,,,,,,,1.7,4.89,0.69,3.2,1.89,4.99,1.6,4.85,2.52,1.79,1.71,2.09,3.57,2.34,4.17,3.09,3.16,3.02,1.35,5.24,3.73,3.97,3.98,7.18,2.54,1.57,0.97,2.6,2.82,4.11,2.78,2.15,2.56,4.28,3.74,1.33,4.11,,,,,,,
August,,,,,,,,3.91,2.29,2.67,3.17,2.02,2.19,4.97,4.99,1.22,1.75,3.5,4.59,2.52,5.87,3.47,1.14,0.89,3.98,2.18,1.81,2.08,1.03,1.54,1.53,4.05,2.12,3.58,1.07,4.28,3.28,0.34,7.21,3.56,2.71,3.23,4.1,1.76,,,,,,,
September,,,,,,,,1.46,4.43,2.26,2.78,0.92,3.15,2.43,4.43,2.46,3.92,4.4,2.48,1.24,6.42,1.14,3.32,1.73,2.27,3.06,2.4,0.74,3.57,2.47,1.26,0.93,2.62,2.27,4.71,2.51,5.15,2.05,2.02,2,5.23,0.77,1.72,2.02,,,,,,,
October,,,,,,,,2.73,2.39,3.19,5.96,1.08,1.45,3.23,3.93,2.33,4.79,4.6,2.78,2.54,2.89,1.46,7.57,5.84,3.55,4.09,1.29,2.89,3.25,6.15,3.69,4.97,4.73,2.16,3.98,4.88,0.35,2.61,2.48,3.2,0.8,1.31,3.58,1.7,,,,,,,
November,,,,,,,,3.3,2.34,5.35,1.55,2.62,1.55,4.12,2.64,1.91,4.35,4.35,2.93,2.8,3.48,3.44,1.28,5.27,2.86,5.21,1.94,1.26,2.78,3.78,6.43,5.89,0.82,2.67,4.26,1.55,6.01,3.27,0.52,3.59,3.65,8.85,4.23,1.44,,,,,,,
December,,,,,,,4.32,0.96,1.69,4.29,3.58,1.56,2.52,3.45,3.76,3.66,0.89,3.58,2.38,6.93,4.15,1.12,1.78,2.36,5.5,3.05,2.08,4.53,4.13,1.79,2.37,0.71,1.95,0.89,3.17,7.18,3.9,2.16,4.54,1.89,2.13,2.05,4.1,2.83,,,,,,,
Total,,,,,,,,25.39,27.55,30.73,31.92,18.27,33.28,40.94,38.26,32.09,34.71,34.9,30.25,26.49,35.99,29.92,31.73,29.26,38.95,35.38,29.89,33.7,29.62,32.75,31.56,32.45,25.24,24.86,29.82,37.91,33.81,32.47,35.34,25.51,29.6,36.24,30.73,24.96,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Estimated Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
