"PORTLAND H.M. BREAKWATER",,,,,,,,,,,,
Grid ref,SY698740,Long,-2.427758,Lat,50.564963,,,,,,,
Station no,1551,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.97,1.10,,
February,,,,,,,,,1.57,0.27,,
March,,,,,,,,,2.64,4.05,,
April,,,,,,,,,2.06,1.44,,
May,,,,,,,,,1.85,1.44,,
June,,,,,,,,,0.50,3.54,,
July,,,,,,,,,1.80,1.97,,
August,,,,,,,,,2.60,2.83,,
September,,,,,,,,,2.59,2.82,,
October,,,,,,,,,10.73,6.56,,
November,,,,,,,,,1.31,0.97,,
December,,,,,,,,,4.79,4.93,,
Total,,,,,,,,,33.41,31.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.41,31.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
