CAMBRIDGE-GRANTCHESTER-MEADOWS,,,,,,,,,,
Grid ref,TL443571,Long,0.10969088,Lat,52.193262,Elevation,35,ft,,
Station no,1201/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.2,2.68,1.98
February,,,,,,,,2.53,0.11,1.15
March,,,,,,,,0.78,2.22,1.76
April,,,,,,,0.13,1.21,1.66,0.37
May,,,,,,,0.76,2.65,0.43,0.99
June,,,,,,,1.72,5.06,1.38,1.93
July,,,,,,,2.66,2.98,3.64,3.16
August,,,,,,,2.12,2.35,0.72,3.17
September,,,,,,,2.64,2.61,0.04,4.39
October,,,,,,,1.55,1.87,1.29,4.71
November,,,,,,,1.33,1.42,1.28,3.7
December,,,,,,,1.75,2.48,2.37,2.77
Total,,,,,,,,28.14,17.82,30.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 Mar Gauge moved,,,,,,,,,,
