CAMBRIDGE (GRANTCHESTER MEADOWS),,,,,,,,,,,,
Grid ref,TL443571,Long,0.109691,Lat,52.193262,,,,,,,
Station no,1201/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.91,1.02,1.76,3.16,1.34,2.20,2.68,1.98,,
February,,,1.36,1.78,1.48,0.74,2.36,2.53,0.11,1.15,,
March,,,0.49,1.90,1.34,0.60,1.48,0.78,2.22,1.76,,
April,,,1.73,0.27,0.50,1.34,0.13,1.21,1.66,0.37,,
May,,,1.87,3.44,2.70,0.68,0.76,2.65,0.43,0.99,,
June,,,1.99,1.92,2.22,2.08,1.72,5.06,1.38,1.93,,
July,,,2.19,2.52,0.54,3.52,2.66,2.98,3.64,3.16,,
August,,,2.30,3.80,1.56,4.34,2.12,2.35,0.72,3.17,,
September,,,1.49,1.63,1.93,1.42,2.64,2.61,0.04,4.39,,
October,,,2.44,1.76,2.81,1.34,1.55,1.87,1.29,4.71,,
November,,,1.57,3.05,1.53,1.04,1.33,1.42,1.28,3.70,,
December,,,0.73,1.88,1.55,2.28,1.75,2.48,2.37,2.77,,
Total,,,19.07,24.97,19.92,22.54,19.84,28.14,17.82,30.08,,
Calc annual,0.00,0.00,19.07,24.97,19.92,22.54,19.84,28.14,17.82,30.08,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
