"STONYFORD BELFAST W W",,,,,,,,,,,,
Grid ref,IJ2168070261,Long,-6.119283,Lat,54.566144,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.12,3.06,1.72,5.00,2.43,1.67,3.14,1.30,2.40,1.71,,
February,3.54,1.63,1.62,1.87,3.63,1.43,2.14,1.67,2.22,2.77,,
March,0.78,2.51,2.01,3.65,1.46,3.34,2.23,3.77,4.29,3.12,,
April,2.73,2.20,1.74,1.15,2.24,1.93,2.73,2.71,3.29,3.86,,
May,2.67,1.45,4.08,2.56,2.51,1.29,4.47,3.60,1.97,1.42,,
June,3.99,3.52,2.27,1.70,1.25,3.34,0.98,5.41,3.17,2.03,,
July,3.27,1.62,5.21,5.08,3.60,2.04,2.46,2.79,3.74,4.42,,
August,6.13,3.96,2.96,4.34,5.64,6.06,4.91,3.85,2.73,2.50,,
September,2.98,3.26,5.60,3.68,3.03,1.82,1.16,1.32,3.56,1.96,,
October,4.36,3.85,1.45,5.49,0.72,1.40,4.32,4.82,2.40,4.61,,
November,5.77,5.76,3.74,2.52,2.29,2.88,2.52,3.46,3.13,1.19,,
December,3.22,3.62,1.82,2.87,2.58,1.82,3.61,3.37,3.24,3.67,,
Total,42.56,36.44,34.22,39.91,31.38,29.02,34.67,38.07,36.14,33.26,,
Calc annual,42.56,36.44,34.22,39.91,31.38,29.02,34.67,38.07,36.14,33.26,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
