LANCASTER (STODDAY),,,,,,,,,,,,
Grid ref,SD460588,Long,-2.825721,Lat,54.022360,,,,,,,
Station no,3048/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.13,3.98,1.98,3.35,2.03,3.05,4.21,4.03,2.63,5.65,,
February,4.16,0.83,1.28,2.48,1.66,0.44,3.26,5.40,0.87,2.90,,
March,4.65,2.14,0.72,1.76,1.09,,2.62,1.94,2.59,1.06,,
April,1.87,3.63,2.86,1.03,2.18,,0.49,1.60,2.58,2.95,,
May,1.64,2.53,1.92,2.92,3.29,,3.27,4.34,1.95,2.32,,
June,1.27,4.12,1.76,4.19,3.30,,1.85,3.74,3.78,1.58,,
July,2.39,1.46,4.37,4.47,1.71,,3.56,2.96,4.05,6.57,,
August,3.99,5.76,3.85,4.51,1.45,,3.92,3.72,0.29,5.68,,
September,4.56,4.54,4.58,6.66,2.65,3.01,5.24,4.76,0.46,3.72,,
October,1.42,3.83,1.57,9.20,1.84,3.16,6.39,4.46,3.97,3.06,,
November,7.14,1.65,4.76,6.50,1.54,1.47,1.29,1.58,4.46,7.92,,
December,8.54,4.07,2.22,4.96,4.01,4.00,4.73,3.10,7.19,4.77,,
Total,45.76,38.54,31.87,52.03,26.75,,40.83,41.63,34.82,48.18,,
Calc annual,45.76,38.54,31.87,52.03,26.75,15.13,40.83,41.63,34.82,48.18,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,,
