LANCASTER (STODDAY),,,,,,,,,,,,,,,,,,,,
Grid ref,SD460588,Long,-2.825721,Lat,54.02236,Elevation,25,ft,,,,,,,,,,,,
Station no,3048/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.36,5.2,3.46,4.07,3.2,6.95,2.33,1.82,4.13,3.98,1.98,3.35,2.03,3.05,4.21,4.03,2.63,5.65
February,,,2.25,1.56,4.22,3.66,0.63,2.18,1.64,3.7,4.16,0.83,1.28,2.48,1.66,0.44,3.26,5.4,0.87,2.9
March,,,0.95,0.48,2.04,0.71,5.16,2.34,2.04,2.04,4.65,2.14,0.72,1.76,1.09,,2.62,1.94,2.59,1.06
April,,,2.68,3.68,1.81,2.16,3.38,0.91,4.02,2.42,1.87,3.63,2.86,1.03,2.18,,0.49,1.6,2.58,2.95
May,,,4,3.04,3.09,1.66,2.95,1.66,2.8,1.24,1.64,2.53,1.92,2.92,3.29,,3.27,4.34,1.95,2.32
June,,,2.94,3.06,4.26,2.28,2.93,5.65,0.53,2.5,1.27,4.12,1.76,4.19,3.3,,1.85,3.74,3.78,1.58
July,,,5.69,2.9,2.96,4.75,3.65,2.88,3.27,4.51,2.39,1.46,4.37,4.47,1.71,,3.56,2.96,4.05,6.57
August,,,7.62,3.27,1.41,5.76,0.35,3.29,2.77,6.08,3.99,5.76,3.85,4.51,1.45,,3.92,3.72,0.29,5.68
September,,,4.55,5.13,4.03,6.3,3.89,5.82,0.81,7.66,4.56,4.54,4.58,6.66,2.65,3.01,5.24,4.76,0.46,3.72
October,,,4.6,4.48,4.69,0.4,0.21,3.56,5.94,3.58,1.42,3.83,1.57,9.2,1.84,3.16,6.39,4.46,3.97,3.06
November,,,2.98,5.75,0.17,6.45,5.2,4.1,4.66,4.25,7.14,1.65,4.76,6.5,1.54,1.47,1.29,1.58,4.46,7.92
December,,,2.04,3.36,2.04,4.88,1.92,3.02,5.65,2.21,8.54,4.07,2.22,4.96,4.01,4,4.73,3.1,7.19,4.77
Total,,,45.66,41.91,34.18,43.08,33.47,42.36,36.46,42.01,45.76,38.54,31.87,52.03,26.75,,40.83,41.63,34.82,48.18
,,,,,,,,,,,,,,,,,,,,
12519,STODDAY S WKS ,01/01/1943,Current ,,,,,,,,,,,,,,,,,
