BIRMINGHAM CAMP HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP083856,Long,-1.8784,Lat,52.4685,Elevation,416,ft,,,,,,,,,,,,
Station no,RR1551,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,2.19,3.7,0.42,3.1,3.04,0.91,1.52,3.84,0.98,2.85,,,,,,,
February,,,,0.95,1.15,1.69,2.22,1.4,1.01,1.93,0.93,2.78,0.67,,,,,,,
March,,,,1.36,0.58,1.98,1.24,2.32,1.42,2.14,2.06,3.32,3.94,,,,,,,
April,,,,1.85,0.36,0.9,2.82,2.48,3.89,2.63,1.18,0.88,2.13,,,,,,,
May,,,,1.57,1.66,1.59,2.04,1.19,2.47,1.28,2.42,0.82,3.43,,,,,,,
June,,,,4.3,1.81,2.82,2.35,3.29,3.65,2.97,6.44,3.84,2.39,,,,,,,
July,,,,4.06,4.16,4.97,1.88,2.01,3.06,1.93,1.51,6.79,1.86,,,,,,,
August,,,,2.7,2.15,1.5,5.82,3.61,2.74,3.38,6.48,0.96,1.58,,,,,,,
September,,,,2.23,0.96,0.77,3.24,3.35,2.7,2.98,2.28,3.39,4.05,,,,,,,
October,,,,3.91,1.43,5.08,3.48,2.41,3.09,3.12,1.97,1.56,2.89,,,,,,,
November,,,,2.1,1.86,1.06,1.33,1.45,0.71,2.97,2.93,2.74,0.85,,,,,,,
December,,,,1.28,2.08,1.14,2.75,0.79,2.18,2.66,3.62,1.25,1.98,,,,,,,
Total,,,,28.5,21.9,23.92,32.27,27.34,27.83,29.51,35.66,29.31,28.62,,,,,,,
