BALQUHIDDER STRONVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN528203,Long,-4.383681,Lat,56.352074,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.5,,,,,,8.05,6.15,12.1,15.7,8.5,8.3,14.95,5.75,15.4,10.37,,8.05,,,11.1,15.4,10.1,13.3,7.1,2.24,6.2,1.12,10.17,12.42,12.73,7.08,11.29,9.53,8.29,7.3,18.4,6.64,7.37,5.68,14.92,3.31,4.82,2.54,7.64,9.63,11.57,5.62,7.99,15.38,8.4,5.43,12.96,4.09,9.09,10.24,9.64,5.15,8.89,8.22,7.22,6.19,14.79,2.6,7.8,6.72,11.83,12.71,10,8.38,6.3,8.28,13.98,11.91,17.07,2.42,14.35,4.79,14.98,,12.2,2.39,4.5,10.55,12.61,5.15,1.49,1.49,6.13,10.49,9.34,2.04,9.73,9.68,8.57,6.88,6.46,7.15,5.06,,,,,,,,
February,,,,,3.25,,,,,,6.45,11.2,2.64,8.15,5.8,4.55,11.05,9.65,13.55,10.27,,7.72,,,3.42,2.68,6.6,6.6,5.15,3.66,10.13,5.42,8.85,12.28,12.2,13.56,3.32,8.93,0.84,4.73,1.51,2.01,2.88,8.92,16.79,0.99,4,8.13,8.7,6.83,4.66,1.72,2.03,15.73,6.32,4.78,4.03,7.68,5.07,3.65,9.32,12.31,8.23,6.59,13.83,11.89,9.77,1.12,13.13,1.15,15.5,1.81,8.42,9.7,1.59,6.21,5.6,3.13,8.33,1.93,0.86,5.71,0,,0.55,6.94,3.45,6.55,6.7,8.9,3.96,7.81,2.63,8.31,2.5,10.72,5.03,1.01,8.72,8.18,9.58,4.87,1.51,,,,,,,,
March,,,,,2.25,,,,,,10.35,11.9,8.82,4.5,6.52,2.93,8.67,3.1,11.47,7.15,,6.9,,,8.47,3.5,9.6,3.45,4.35,7.63,4.47,6.35,10.7,4.6,7.94,5.66,6.35,2.57,4.62,2.77,6.36,5.86,2.27,2.59,7.55,5.01,8.79,11.12,3.25,7.06,0.9,5.26,5.83,18.31,4.82,8.48,5.7,6.05,8.4,2.65,5.42,2.59,8.23,10.86,8.19,3.07,2.25,3.43,2.65,6,8.75,12.4,3.33,3.7,0.6,2.08,6.39,5.54,7.01,0.72,4.64,2.1,3.06,,3.76,2.72,4.05,3.6,7.42,6.43,5.46,2.17,3.39,3.27,1.12,6.69,4.51,4.9,8.07,2.85,5.24,4.13,6.22,,,,,,,,
April,,,,,0.5,,,,,,2.65,0.7,8.1,7.2,3.45,1.6,5.8,9.52,6.3,3.3,,4.7,,,6.04,2.95,2.9,4.55,4.05,2.36,6.85,2.01,3.06,4.04,2.3,4.92,5.86,2.28,3.54,4.9,2.58,2.91,1.75,1.44,2.27,7.2,3.59,5.47,6.97,6.8,4.7,6.18,5.4,2.04,9.79,3.83,2.58,4.3,1.63,7.24,7.52,6.19,3.26,7.16,6.15,4.83,6.32,1.95,1.42,3.45,2.82,1.24,3.6,3.87,3.14,6.84,3.1,3.94,2.82,1.4,1.43,2.68,4.55,2.76,4.32,3.15,2.38,1.12,0.65,3.55,5.36,2.21,5.03,5.55,4.59,2.81,2.35,13.2,4.56,6.92,4.75,5.74,3.53,,,,,,,,
May,,,,,3.5,,,,,,5.45,1.2,6.15,2.8,1.85,5.58,1.6,3.3,5.8,1.25,,2.12,,,3.1,5.67,0.85,4.9,7.8,2.14,2.53,4.07,5.6,4.47,6.85,3.9,4.03,0.69,8.45,5.02,3.28,2.65,5.69,3.71,3.08,1,0.85,4.47,2.67,4.2,8.02,3.68,3.43,2.28,5.38,3.12,5.36,5.01,3.38,5.29,2.83,5.53,2.58,6.64,2.55,1.85,5.36,3.2,2.96,1.43,7.92,4.98,5.19,2.6,5.88,10.32,4.26,2.57,1.47,5.06,3.09,5.93,2.58,,3.58,0.37,2.33,3.74,4.37,1.33,1.09,3.06,6.47,3.65,6.57,5.67,1.7,6.51,1.8,3.51,2.61,1.94,2.89,,,,,,,,
June,,,,,4.5,,,,,,9.55,4.2,7.4,5.4,5.67,0.85,3.92,3.2,2.52,3.45,,2.82,,,3.1,4.7,6.7,8.6,3.8,6.45,2.73,6.3,6.83,3.35,1.69,1.99,2.03,1.88,4.32,1.56,7.24,2.58,5.05,2.51,3.51,2.42,5.59,5.74,3.28,2.34,5.49,6.33,2.43,3.44,4.71,2.83,1.19,6.64,3.98,2.45,3.5,4.74,8.06,5.21,1.4,1.76,2.45,2.65,3.65,4.55,2.15,0.6,3.24,1.6,2.56,0.46,4.52,4.78,5.06,2.78,2.33,6.31,1.85,2.4,2.42,5.26,1.71,3.25,7.67,3.72,0.74,0.62,2.47,6.12,5.01,5.71,5.21,5.23,6.2,2.33,2.77,3.26,4.84,,,,,,,,
July,,,,,2.5,,,,,,2.8,4.65,7.09,0.4,5.45,4.1,3.35,6.2,1.05,4.2,,7.7,,,7.72,2.45,3.65,5.15,0.7,5.73,5.03,6.07,8.14,5.16,6.82,2.86,4.77,4.6,6.77,1.78,5.15,2.86,4.43,3.95,5.78,5.58,4.62,3.71,1.67,4.58,3.26,4.51,2.94,5.63,4.71,3.35,4.5,2.34,5.53,3.28,7.67,3.62,2.98,0.5,3.24,3.35,4.48,1.82,3.75,1.2,4.98,4.78,5.32,4.53,7.07,2.55,2.64,5.5,4.13,4.12,3.43,6.67,5.48,3.44,3.4,1.52,7.95,5.07,4.62,7.68,4.21,3.32,5.8,3.37,3.02,4.5,4.71,5.23,5.85,1.94,8.18,3.75,2.74,,,,,,,,
August,,,,,2.75,,,,,5.28,6.7,12.85,4,7.76,2.45,6.3,7.6,4.55,8.5,1.05,,5.75,,,7.96,6.52,5.7,7.75,6.3,9.4,2.14,5.78,5.43,5.89,5.66,5.51,3.54,4.63,5.11,6.16,3.66,8.08,10.8,6.12,4.99,8.65,3.49,11.93,6.91,2.08,5.21,5.14,3.47,10.69,7.74,7.34,7.61,8.25,6.24,3.64,10.72,7.12,4.7,1.48,5.05,4.13,2.96,8.08,4.2,3.62,5.27,5.88,3.62,6.86,5.03,4.54,4.87,8.09,6.21,6.73,5.66,2.39,3.22,,5.95,3.18,4.02,3.45,2.63,2.54,2.32,4.25,8.62,10.87,4.94,1.98,5.4,0,10.21,5.87,9.48,7.95,6.27,,,,,,,,
September,,,,,2.75,,,,,9.9,3.95,8.5,3.78,9.26,10.25,2.1,11.95,4,3.9,11.85,,2.55,,,10.6,6,3.6,3.95,8,9.33,4.87,3.28,5.43,3.65,6.41,11.49,10.59,5.1,1.06,1.57,7.35,9.07,10.01,4.54,0.21,2.94,7.9,5.49,7.39,7.3,6.8,8.43,5.33,6.44,7.6,4.5,3.26,1.91,10.15,2.55,1.65,2.6,3.49,4.91,2.7,3.15,1.31,6,8.03,5.7,3.59,3.6,3.1,10.12,8.88,3.39,2.94,6.83,4.84,1.9,5.33,2.3,4.24,,9.71,10.29,4.12,5.25,5.07,3.31,4.09,2.16,10.39,5.89,5.19,9,9.4,6.88,9.39,2.67,12.58,6.42,3.36,,,,,,,,
October,,,,,5.25,,,,,4.7,11.06,8.4,15.16,7.46,5.25,5.55,6.45,9.3,9.2,4.67,,8.25,,,16.4,8.9,9.75,13.5,10.4,2.67,0.71,6.17,6.68,10.2,9.33,5.95,7.35,3.62,7.85,6.11,6.52,12.89,6.24,7.23,4.61,2.94,7.18,5.33,6.84,7.22,8.09,7.11,5.41,15.58,4.29,4.8,10.82,5.67,2.74,14.05,3.92,5.15,8.2,6.33,2.22,4.23,12.46,11.83,11.62,1.39,5.41,4.25,3.39,11.89,5.33,7.03,4.73,8.31,11.48,8.77,11.63,5.56,6.29,,8.45,15.19,8.67,3.1,12.6,5.12,9.69,6.91,9.24,16.77,7.4,7.12,0.75,5.15,10.22,10.05,8.84,2.22,7.46,,,,,,,,
