SAFFRON-WALDEN-BRIDGE-END-TECHNICAL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL532378,Long,0.231121,Lat,52.017478,Elevation,235,ft,,,,,,,,,,,,
Station no,1330/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,
January,,,,1.24,2.34,3.09,0.89,2.25,2.48,2.23,,,,,,,,,,
February,,,,1.64,1.28,0.57,2.03,2.42,0.09,1.53,,,,,,,,,,
March,,,,1.85,1.15,0.59,0.88,0.73,1.85,1.18,,,,,,,,,,
April,,,,0.48,0.26,1.42,0.07,0.92,2.1,0.32,,,,,,,,,,
May,,,,3.02,3.1,0.58,0.41,2.46,0.39,1.03,,,,,,,,,,
June,,,,1.9,2.51,1.94,1.79,5.54,0.68,1.43,,,,,,,,,,
July,,,,2.68,0.33,2.3,1.83,4.16,3.39,3.31,,,,,,,,,,
August,,,,3.7,0.92,4.14,1.63,2.38,0.41,3.02,,,,,,,,,,
September,,,,1.05,1.79,1.7,2.6,2.78,0.08,3.55,,,,,,,,,,
October,,,,1.63,3.94,1.53,1.98,1.8,1.75,5.66,,,,,,,,,,
November,,,,3.87,0.53,1.15,1.98,1.63,2.27,2.84,,,,,,,,,,
December,,,,1.96,1.78,2.76,2.06,2.66,5.06,3.34,,,,,,,,,,
Total,,,,25.02,19.93,21.77,18.15,29.73,20.55,29.44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 1954 Jan,,,,,,,,,,,,,,,,,,,,
