SAFFRON-WALDEN-BRIDGE-END-TECHNICAL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL538388,Long,0.24078,Lat,52.02638,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1330/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.98,4.83,1.9,2.13,2.25,4.54,1.34,2.03,1.51,1.52,3.22,1.05,1.13,2.29,1.79,0.96,,,,,,,
February,,,,,,,,0.83,0.91,1.47,1.95,1.15,0.9,1.09,1.38,1.93,1.73,1.01,1.08,2.75,3.28,0.63,1.75,,,,,,,
March,,,,,,,,0.39,1.83,3.04,3.36,1.28,0.55,0.29,1.03,1.53,4.52,0.69,0.65,0.42,2.75,2.34,0.46,,,,,,,
April,,,,,,,,0.38,2.49,1.46,1.33,0.8,1.17,1.26,1.05,0.88,1.26,1.46,1.35,1.47,2.85,1.18,2.26,,,,,,,
May,,,,,,,,2.34,1.06,0.85,1.93,2.04,1.44,1.02,2.28,1.74,0.53,1.89,2.4,2.17,2.55,0.88,1.73,,,,,,,
June,,,,,,,,0.5,2.15,0.55,0.54,0.58,1.74,1.16,1.32,2.11,2.35,3.24,1.02,0.97,1.18,1.09,2.66,,,,,,,
July,,,,,,,,1.62,1.66,4.2,2.87,2.71,1.19,1.5,1.94,3.42,2.26,1.27,1.06,3.62,1.32,0.62,2.97,,,,,,,
August,,,,,,,,0.8,2.71,0.19,4.5,1.32,1.18,2.95,1.71,3.46,0.03,3.66,1.28,2.55,3.44,4.09,1.87,,,,,,,
September,,,,,,,,4.17,2.83,0.64,0.52,1.07,1.48,3.14,2.47,2.47,1.25,1.28,0.59,2.55,2.36,2.61,1.43,,,,,,,
October,,,,,,,,2.74,4.96,2.17,2.91,4.1,1.68,3.28,1.55,1.08,0.15,1.99,4.39,0.39,0.97,2.43,3.06,,,,,,,
November,,,,,,,,2.73,3.8,6.67,1.38,2.33,1.59,2.96,0.3,3.66,1.18,1.57,2.03,4.41,3.56,3.87,1.11,,,,,,,
December,,,,,,,,3.15,1.18,1.48,1.28,2.25,1.29,1.1,3.02,1.64,2.7,1.7,1.45,1.44,1.5,2.56,0.63,,,,,,,
Total,,,,,,,,22.63,30.41,24.62,24.7,21.88,18.75,21.09,20.08,25.43,19.48,22.98,18.35,23.87,28.05,24.09,20.89,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 0.75 miles SW 1954 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
