"HORWICH LOWER KNOLL",,,,,,,,,,,,
Grid ref,SD643129,Long,-2.541073,Lat,53.611427,,,,,,,
Station no,2997,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.61,2.81,3.70,2.92,3.71,1.49,5.68,1.77,3.10,2.10,,
February,3.00,2.09,1.57,3.75,4.11,1.87,3.47,1.45,3.86,1.53,,
March,0.79,3.10,2.87,4.45,2.05,3.23,2.97,3.28,3.42,3.09,,
April,2.19,2.87,2.74,1.65,2.15,2.67,2.23,1.91,2.84,3.93,,
May,2.21,1.14,4.13,4.08,2.00,0.96,3.80,4.32,3.43,2.64,,
June,2.62,2.15,2.00,1.85,2.44,2.11,2.57,7.92,1.80,4.47,,
July,2.38,2.43,4.46,4.17,1.47,2.54,1.90,4.29,5.61,6.30,,
August,6.30,3.60,2.90,6.35,5.08,5.51,4.03,5.20,3.56,4.19,,
September,3.14,1.22,2.76,6.12,1.60,2.77,1.90,1.21,5.44,2.84,,
October,6.58,4.27,5.18,9.31,3.14,4.87,6.83,3.02,2.48,5.77,,
November,4.59,4.52,2.56,4.77,3.20,4.65,3.18,3.65,3.02,1.80,,
December,5.58,4.75,3.66,2.72,3.37,1.07,4.87,4.67,2.75,6.87,,
Total,44.99,34.95,38.53,52.14,34.32,33.74,43.43,42.69,41.31,45.53,,
Calc annual,44.99,34.95,38.53,52.14,34.32,33.74,43.43,42.69,41.31,45.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
