HORWICH LOWER KNOLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD643129,Long,-2.541073,Lat,53.611427,Elevation,742,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,,,,,,,,,,,,,,5.61,2.81,3.7,2.92,3.71,1.49,5.68,1.77,3.1,2.1,4.92,1.22,3.83,3.8,2.69,5.44,3.04,3.14,3.07,4.81,4.21,6.22,4.19,4.15,3.63,2.72,4.78,5,9.36,2.31,5.18,4.42,4.5,2.34,2.77,2.48,6.6,2.9,4.47,6.17,2.52,1.57,4.51,4.72,5.6,4.65,4.75,4.95,9.03,2.46,3.15
February,,,,,,,,,,,,,,,,,,,,,,,,,3,2.09,1.57,3.75,4.11,1.87,3.47,1.45,3.86,1.53,3.48,3.68,1.85,1.25,2.27,4.29,3.96,1.48,4.16,1.24,3.25,0.32,3.96,6.85,1.48,6.64,4.25,1.99,4.14,1.58,0.23,3.93,0.1,3.56,0.3,4.21,2.97,5.68,1.24,3.83,2.68,4.82,2.08,2.28,2.45,4.8,6.2,1.83,2.27,2.03,
March,,,,,,,,,,,,,,,,,,,,,,,,,0.79,3.1,2.87,4.45,2.05,3.23,2.97,3.28,3.42,3.09,0.82,1.85,5.91,4.88,4.65,1.98,2.05,2.94,1.84,6.19,3.96,2.9,2.98,2.27,1.81,2.78,1.61,5.64,2.8,1.52,2.9,0.41,2.57,3.17,2.71,1.29,2.64,2.08,1.16,1.72,2.57,2.77,2.97,1.09,1.25,1.6,1.05,8.5,1.4,2.42,2.4
April,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.87,2.74,1.65,2.15,2.67,2.23,1.91,2.84,3.93,3.17,3.3,0.69,5.33,1.38,2.08,4.32,2.24,1.06,2.77,5.14,1.91,2.74,3.44,2.18,2.49,1.48,2.93,1.05,1.09,3,2.94,2.77,1.91,2.34,2.77,1.19,3.38,0.33,3.1,2.84,1.58,1.42,1.98,2.6,2.5,1.35,3.67,1.7,3.5,2.85
May,,,,,,,,,,,,,,,,,,,,,,,,,2.21,1.14,4.13,4.08,2,0.96,3.8,4.32,3.43,2.64,3.43,2.04,2.8,3.53,2.22,1.68,2.84,2.18,2.7,1.61,6.34,2.64,1.98,3.5,5.18,4.77,4.16,1.34,1.4,2.78,1.68,2.38,4.36,2.01,2.77,1.72,1.25,2.41,4.03,1.5,1.29,1.98,4.04,3.1,3.1,3.85,1.85,3.2,2.4,3,2
June,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.15,2,1.85,2.44,2.11,2.57,7.92,1.8,4.47,3.73,3.63,5.36,2.63,1.91,2.44,3.71,2.34,2.5,2.71,3.04,0.66,3.28,1.43,3.16,0.14,2.26,4.93,6.37,1.68,2.44,5.94,0.87,3.17,2.11,3.86,4.06,2.19,4.14,3.63,0.96,0.43,0.78,3.6,3.15,4.55,3.85,2.5,5.55,1.01,
July,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.43,4.46,4.17,1.47,2.54,1.9,4.29,5.61,6.3,5.74,0.23,4.92,1.87,6.13,4.49,2.84,2.33,4.15,2.05,7.03,1.58,5.14,5.26,5.41,2.79,3.92,4.35,2.66,3.9,5.11,3.45,4.19,2.51,2.11,1.75,4.62,2.34,4.11,6.37,6.04,2.51,4.13,3.5,4.55,3.5,4.25,3,2.8,3.04,
August,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.6,2.9,6.35,5.08,5.51,4.03,5.2,3.56,4.19,5.56,4.44,8.74,2.96,3.24,5.67,4.42,7.75,4.68,4.65,3.02,6.27,5.44,6.81,8.23,3.97,4.37,5.68,5.74,4.82,7.59,5.45,1.39,2.48,4.13,1.95,3,3.04,3.7,1.73,1.98,6.11,5.21,6.4,3.5,2.55,7.7,0.28,5.05,3.98,
September,,,,,,,,,,,,,,,,,,,,,,,,,3.14,1.22,2.76,6.12,1.6,2.77,1.9,1.21,5.44,2.84,0.66,4.16,2.75,2.2,3.92,1.05,3.35,2.21,11.91,2.21,3.64,1.45,6.92,4.45,4.8,5.24,4.5,6.76,1.19,2.57,3.3,4.59,5.31,0.69,3.89,6.93,4.13,1.62,2.69,1.39,3.8,1.14,2.38,5.35,6.4,2.35,7.3,3.35,3,2.1,
October,,,,,,,,,,,,,,,,,,,,,,,,,6.58,4.27,5.18,9.31,3.14,4.87,6.83,3.02,2.48,5.77,3.25,2.69,4.79,2.21,2.8,2.51,7.03,7.82,4.58,3.33,1.48,3.08,0.82,6.14,5.09,5.76,3.7,4.75,5.57,6.3,5.45,2.62,7.52,3.32,5.87,7.29,3.7,2.44,8.28,3.14,4.19,4.27,5.31,4.2,5.7,6,1.7,0.83,2.85,4.05,
