"HORWICH LOWER KNOLL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2997,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.21,6.22,4.19,4.15,3.63,2.72,4.78,5.00,9.36,2.31,5.18,
February,3.25,0.32,3.96,6.85,1.48,6.64,4.25,1.99,4.14,1.58,0.23,
March,3.96,2.90,2.98,2.27,1.81,2.78,1.61,5.64,2.80,1.52,2.90,
April,5.14,1.91,2.74,3.44,2.18,2.49,1.48,2.93,1.05,1.09,3.00,
May,6.34,2.64,1.98,3.50,5.18,4.77,4.16,1.34,1.40,2.78,1.68,
June,3.04,0.66,3.28,1.43,3.16,0.14,2.26,4.93,6.37,1.68,2.44,
July,7.03,1.58,5.14,5.26,5.41,2.79,3.92,4.35,2.66,3.90,5.11,
August,3.02,6.27,5.44,6.81,8.23,3.97,4.37,5.68,5.74,4.82,7.59,
September,3.64,1.45,6.92,4.45,4.80,5.24,4.50,6.76,1.19,2.57,3.30,
October,1.48,3.08,0.82,6.14,5.09,5.76,3.70,4.75,5.57,6.30,5.45,
November,1.65,3.26,3.79,6.57,2.64,5.27,6.81,4.42,5.97,7.03,6.04,
December,2.84,6.10,5.47,5.87,5.57,3.16,2.05,1.71,3.21,5.87,4.44,
Total,45.60,36.39,46.71,56.74,49.18,45.73,43.89,49.50,49.46,41.45,47.36,
Calc annual,45.60,36.39,46.71,56.74,49.18,45.73,43.89,49.50,49.46,41.45,47.36,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
