PETERBOROUGH-WESTBOURNE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL190975,Long,-0.245914,Lat,52.562328,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.69,0.78,2.6,1.68,2.85,1.38,2.06,1.38,0.71,1.32,0.95,1.08,2.64,2.73,2.26,4.42,1.91,3.42,2.09,3.41,1.89,2.33,1.47,1.73,3.18,0.91,0.87,2.09,1.21,0.94,0.74,2.02,4.15,0.92,2.2,2.87,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.71,1.59,1.54,2.14,0.94,0.97,0.54,2.34,0.26,1.66,0.47,1.35,2.16,2.64,0.82,0.35,2.36,1.71,1.3,0.46,1.12,1.47,1.42,2.19,0.52,0.62,3.12,2.64,0.38,1.63,1.99,2.33,0.66,2.36,3.2,0.11,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.67,0.76,0.3,1.64,0.98,0.06,1.64,0.25,1.14,2.2,1.37,0.39,1.06,3.31,0.17,1.7,2.13,3.6,1.46,0.65,0.19,0.55,0.91,4.54,0.49,0.93,0.55,2.78,3,0.62,2.11,1.74,0.62,1.42,1.11,1.77,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.83,1.38,2.31,2.12,0.99,0.84,1.77,2.32,2.09,0.96,1.83,2.37,2.04,2.28,0.07,2.33,1.34,1,0.58,0.77,1.81,0.8,0.79,1.71,1.16,1.39,1.95,2.7,1.22,1.55,0.35,0.63,0.89,0.19,0.65,1.33,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.56,2.69,2.25,0.54,1.37,0.69,3.18,2.21,3.42,0.99,0.55,0.88,0.48,3.61,1.9,0.82,1.5,2.21,2.07,1.95,0.81,2.23,1.95,0.86,3.53,2.21,3.6,3.04,1.71,1.55,2.97,2.78,0.68,1.45,2.42,0.65,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.45,0.09,2.42,2.54,2.05,0.97,0.29,1.29,0.59,3.22,1.07,2.39,4.33,1.08,1.05,1.81,0.64,1.05,0.54,1.73,1.94,1.59,2.21,3.08,2.79,0.7,1.59,1.05,1.13,3.39,2.2,2.2,2.28,1.93,4.76,0.26,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.7,1.64,2.01,2.77,2.06,3,2.67,3.01,4.09,1.39,1.63,0.41,4.93,2.02,1.63,2.26,2.32,2.96,2.69,0.89,1.96,1.53,1.7,2.31,1.16,2.74,2.93,0.68,0.39,1.77,1.86,0.2,2.89,3.84,2.84,2.23,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.33,1.66,0.85,3.06,2.29,0.54,2.31,3.4,2.61,0.87,1.88,0.97,0.52,1.02,2.83,2.91,0.22,3.94,1.45,1.89,2.24,2.51,3.16,0.02,2.7,1.54,1.85,3.93,2.98,2.2,4.02,1.14,4.25,2.09,1.98,0.84,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.36,2.22,2.24,3.14,0.79,0.8,4.57,2.69,2.97,2.23,1.36,3.15,2.1,0.92,1.9,1.23,0.33,0.46,0.98,1.08,3.15,1.35,2.48,0.81,1.85,0.61,2.45,1.53,2.46,0.58,1.63,1.71,1.52,3.92,2.24,0.01,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.48,3.81,2.67,2.2,1.78,2.98,2.81,0.64,0.5,3.13,1.6,0.77,2.38,1.08,2.26,1.87,3.93,1.92,1.94,1.89,1.1,2.43,2.08,1.8,0.19,2.77,3.23,0.37,0.88,2.36,1.85,1.93,1.64,1.01,0.98,1.72,1.04,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
