"PETERBOROUGH (WESTBOURNE HOUSE)",,,,,,,,,,,,
Grid ref,TL190975,Long,-0.245914,Lat,52.562328,,,,,,,
Station no,1138,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.09,1.21,0.94,0.74,2.02,4.15,0.92,2.20,2.87,2.87,,
February,2.64,0.38,1.63,1.99,2.33,0.66,2.36,3.20,0.11,2.02,,
March,2.78,3.00,0.62,2.11,1.74,0.62,1.42,1.11,1.77,1.48,,
April,2.70,1.22,1.55,0.35,0.63,0.89,0.19,0.65,1.33,0.29,,
May,3.04,1.71,1.55,2.97,2.78,0.68,1.45,2.42,0.65,0.95,,
June,1.05,1.13,3.39,2.20,2.20,2.28,1.93,4.76,0.26,2.46,,
July,0.68,0.39,1.77,1.86,0.20,2.89,3.84,2.84,2.23,3.42,,
August,3.93,2.98,2.20,4.02,1.14,4.25,2.09,1.98,0.84,2.46,,
September,1.53,2.46,0.58,1.63,1.71,1.52,3.92,2.24,0.01,2.95,,
October,0.88,2.36,1.85,1.93,1.64,1.01,0.98,1.72,1.04,3.80,,
November,3.25,2.49,1.44,4.40,1.01,0.74,1.47,1.42,1.44,3.24,,
December,1.36,1.50,0.46,2.03,1.43,1.90,1.87,2.07,3.62,2.94,,
Total,25.93,20.83,17.98,26.23,18.83,21.59,22.44,26.61,16.17,28.88,,
Calc annual,25.93,20.83,17.98,26.23,18.83,21.59,22.44,26.61,16.17,28.88,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
