"PETERBOROUGH, WESTBOURNE HOUSE",,,,,,,,,,,,
Grid ref,TL187968,Long,-0.250588,Lat,52.556104,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.02,0.73,0.73,,
February,,,,,,,,1.03,1.24,0.33,,
March,,,,,,,,1.04,1.91,3.29,,
April,,,,,,,,2.75,2.34,1.12,,
May,,,,,,,,2.66,1.44,1.16,,
June,,,,,,,,1.09,1.08,2.58,,
July,,,,,,,,1.86,2.24,2.74,,
August,,,,,,,,2.14,2.37,1.94,,
September,,,,,,,,0.35,2.36,1.64,,
October,,,,,,,3.35,2.93,1.14,2.87,,
November,,,,,,,2.80,2.27,0.86,0.48,,
December,,,,,,,2.10,2.41,0.98,3.49,,
Total,,,,,,,,21.55,18.69,22.37,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,8.25,21.55,18.69,22.37,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
