POOLE-HAMWORTHY,,,,,,,,,,
Grid ref,SZ004902,Long,-1.9957,Lat,50.71143,Elevation,12,ft,,
Station no,RR8368,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.58,2.75,1.57,1.98,4,4.04,0.73,2.15,0.38,3.68
February,0.77,0.04,1.26,3.14,2.36,0.06,0.27,2.94,2.14,2.96
March,1.03,2.89,0.59,0.68,1.3,2.1,2.98,5.13,0.91,0.26
April,2.61,0.83,0.82,0.07,2.42,2.22,0.72,2.24,1.76,3.52
May,2.15,1.67,0.82,0.62,1.26,0.28,0.38,1.15,2.26,1.18
June,2.21,1.73,1.2,1.44,1.62,1.31,2.54,2.15,0.82,0.75
July,2.95,1.55,1.85,4.41,5.7,2.8,0.55,0.31,0.37,0.4
August,2.54,5.43,3.26,0.81,2.26,1.85,2.12,4.05,1.32,1.84
September,1.97,1.31,2.7,1.79,2.9,0.19,9.92,2.36,1.39,2.75
October,0.79,7.61,4.45,4.43,4.36,2.86,3.06,1.08,4.52,2.24
November,2.18,3.78,2.95,1.31,6.44,5.75,0.87,0.85,3.4,4.15
December,1.5,4.2,1.82,2.66,1.76,3.49,5.87,4.2,3.32,1.32
Total,24.28,33.79,23.29,23.34,36.38,26.95,30.01,28.61,22.59,25.05
,,,,,,,,,,
Belle Vue House Lower Hamworthy Near Potters Arm pub,,,,,,,,,,
Starts 1890 Ends 1899,,,,,,,,,,
