"BURLEY-ON-THE-HILL",,,,,,,,,,,,
Grid ref,SK883102,Long,-0.695270,Lat,52.682310,,,,,,,
Station no,RR2088,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.49,0.89,0.95,,,,,,,,,
February,5.03,1.32,1.53,,,,,,,,,
March,0.64,2.04,1.36,,,,,,,,,
April,0.78,1.21,1.46,,,,,,,,,
May,2.01,1.46,2.56,,,,,,,,,
June,1.35,1.25,2.49,,,,,,,,,
July,2.05,5.19,1.40,,,,,,,,,
August,5.71,1.15,2.86,,,,,,,,,
September,0.32,0.82,1.62,,,,,,,,,
October,1.82,2.36,2.66,,,,,,,,,
November,2.45,1.44,1.96,,,,,,,,,
December,3.91,5.29,1.42,,,,,,,,,
Total,29.56,24.42,22.27,,,,,,,,,
Calc annual,29.56,24.42,22.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
