BOLTON THE FREEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD913049,Long,-2.1327015,Lat,53.541161,Elevation,495,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,4.23,1.86,5.4,5.18,3.97,5.4,2.89,7.17,4.69,2.11,0.71,,,,,,,,,
February,,,,,,,,,,6.1,1.42,4.49,4.53,1.24,1.83,1.14,4.79,6.06,2.05,3.72,2.57,,,,,,,,,
March,,,,,,,,,,1.62,3.86,2.41,4.25,4.32,4.77,0.93,4.3,3.56,2.45,1.86,3.15,,,,,,,,,
April,,,,,,,,,,3.36,2.8,4.05,2.91,1.02,1.34,1.17,2.95,2.24,2.46,2.52,1.96,,,,,,,,,
May,,,,,,,,,,3.45,1.92,2.64,2.8,2.45,1.92,2.59,0.98,3.93,5.2,2.18,2.56,,,,,,,,,
June,,,,,,,,,,2.06,4.26,3.53,6.52,2.57,1.72,4.8,3.4,2.31,5.25,7.64,3.31,,,,,,,,,
July,,,,,,,,,,1.56,1.14,5.36,4.53,6.97,3.4,5.9,4.03,7.72,2.04,5.51,5.33,,,,,,,,,
August,,,,,,,,,,4.49,2.64,1.75,3.44,5.5,6.86,3.12,4.95,5.78,6.23,7.16,2.63,,,,,,,,,
September,,,,,,,,,,9.72,3.86,5.59,8.77,3.05,4.22,6.14,5.42,3.45,5.69,3.95,5.93,,,,,,,,,
October,,,,,,,,,,5.46,12.33,6.49,5.26,6.25,5.92,7.07,3.36,5.48,5.44,3.49,3.38,,,,,,,,,
November,,,,,,,,,,6.76,3.72,1.9,4.49,3.48,7.35,6.07,4.38,7.87,2.89,1.41,4.65,,,,,,,,,
December,,,,,,,,,,4.6,3.51,3.33,4.27,1.46,3.82,1.75,6.72,4.8,3.25,3.11,8.87,,,,,,,,,
Total,,,,,,,,,,,45.69,43.4,57.17,43.49,47.12,46.08,48.17,60.37,47.64,44.66,45.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Census records show observer William Musgrave lived at 31 Arkwright Street Oldham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 1870 amount corrected to 1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 1871 amount corrected to 1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 total amount corrected to 43.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
