"S UIST, ASKERNISH",,,,,,,,,,,,
Grid ref,NF736239,Long,-7.405265,Lat,57.189264,,,,,,,
Station no,RR8213,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.85,2.22,3.50,5.41,4.60,,,,,,,
February,3.50,0.91,1.77,5.01,3.81,,,,,,,
March,1.04,3.06,4.09,5.96,2.48,,,,,,,
April,2.91,3.56,2.75,1.62,5.58,,,,,,,
May,2.58,1.76,2.28,1.48,3.48,,,,,,,
June,1.26,2.96,1.00,1.54,2.58,,,,,,,
July,1.64,3.00,1.55,3.06,2.29,,,,,,,
August,2.90,1.39,2.36,5.38,4.03,,,,,,,
September,3.53,3.88,5.75,2.19,,,,,,,,
October,4.85,6.39,3.98,8.77,,,,,,,,
November,3.59,,3.78,5.60,,,,,,,,
December,6.66,-999.00,4.92,4.41,,,,,,,,
Total,42.31,35.13,37.73,50.43,,,,,,,,
Calc annual,42.31,29.13,37.73,50.43,28.85,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,6.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
