WASHINGTON USWORTH SCHOOL,,,,,,,,,,,,
Grid ref,NZ301584,Long,-1.531939,Lat,54.919396,,,,,,,
Station no,RR7499,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.81,,
February,,,,,,,,,,1.61,,
March,,,,,,,,,,4.90,,
April,,,,,,,,,,2.55,,
May,,,,,,,,,,1.79,,
June,,,,,,,,,,2.46,,
July,,,,,,,,,,2.40,,
August,,,,,,,,,,3.06,,
September,,,,,,,,,,1.96,,
October,,,,,,,,,,2.72,,
November,,,,,,,,,,0.80,,
December,,,,,,,,,,3.80,,
Total,,,,,,,,,,28.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
