ST-GERMANS-FAIRFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SX358574,Long,-4.31133,Lat,50.39412,Elevation,170,ft,,,,,,,,,,,,
Station no,RR7247,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.87,1.52,2.21,2.42,5.21,1.6,4.08,9.22,1.5,4.61,2.39,2.48,,
February,,,,,,,6.3,2.68,2.02,0.74,6.39,2.26,4.28,1.22,5.27,7.18,7.07,1.7,,
March,,,,,,,1.06,1.12,5.33,5.46,0.73,4.28,5.8,4.52,8.06,1.07,3.11,4.28,,
April,,,,,,,0.81,6.13,2.78,1.96,2.09,2.64,0.55,5.49,2.16,1.17,1.37,1.54,,
May,,,,,,,3.28,3.03,3.32,1.45,2.16,1.75,2.71,3.59,1.58,2.55,1.93,2.88,,
June,,,,,,,1.75,3.42,0.48,3.94,1.82,3,5.34,1.19,1.53,2.47,2.67,2.65,,
July,,,,,,,1.95,3.26,1.85,3.13,5.21,1.89,3.88,0.33,4.72,4.77,1.32,2.25,,
August,,,,,,,2.89,1.03,3.93,1.57,5.1,2.59,9.61,0.62,3.96,1.54,4.75,4.2,,
September,,,,,,,1.06,1.92,3.28,0.89,0.97,2.71,1.4,2.87,3.43,1.38,2.37,2.95,,
October,,,,,,,4.84,6.26,1.96,7.57,6.59,3.74,5.33,5.06,2.68,5.46,7.68,6.05,,
November,,,,,,,3.31,3.9,1.86,1.06,6.76,5,3.16,4.87,4.78,3.7,7.57,2.84,,
December,,,,,,,2.95,5.93,4.83,6.32,7.84,9.41,6.6,2.89,10.23,10.89,4.96,0.84,,
Total,,,,,,,37.07,40.2,33.85,36.51,50.87,40.87,52.74,41.87,49.9,46.79,47.19,34.66,,
,,,,,,,,,,,,,,,,,,,,
1907 Total amended as all monthly totals seem correctly transcribed,,,,,,,,,,,,,,,,,,,,
Observations taken at 9am,,,,,,,,,,,,,,,,,,,,
