DURFORD-HEATH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU784257,Long,-0.88349128,Lat,51.025333,Elevation,450,ft,,,,,,,,,,,,
Station no,461/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,8.5,4.57,7.11,2.51,3.05,3.94,7.47,2.74,2.29,4.26,3.63,6.84,,
February,,,,,,,6.28,0.67,2.1,4.07,3.99,0.71,2.17,0.64,3.12,3.29,2.17,1.69,,
March,,,,,,,4.41,0.36,1.56,3.95,4.01,2.85,0.69,0.24,0.96,1.37,7.1,1.39,,
April,,,,,,,3.27,0.02,2.5,1.52,1.92,2.6,1.07,1.5,1.18,2.53,2.95,2.2,,
May,,,,,,,3.18,1.63,1.48,1.32,2.71,3.79,4.65,0.9,1.75,3.61,1.77,3.13,,
June,,,,,,,1.13,0.76,1.54,0.32,1.92,0.23,1.61,2.33,2.69,3.96,1.92,3.9,,
July,,,,,,,0.99,2.28,4.27,3.01,2.4,1.78,2.63,2.07,3.86,2.26,1.4,1.12,,
August,,,,,,,1.37,1.5,2.34,0.04,5.13,3.39,1.96,1.59,1.69,5.41,0.61,3.43,,
September,,,,,,,2.02,2.31,1.36,2.08,0.26,2.77,2.24,2.77,2.35,5.23,1.63,2.58,,
October,,,,,,,4.18,4.29,5.33,5.82,0.99,3.93,3.71,5.52,4.45,1.33,1.1,2,,
November,,,,,,,2.81,6.45,7.67,9.58,3.9,1.98,2.31,6.35,0.61,7.59,1.75,2.06,,
December,,,,,,,4.24,4.78,2.71,2.36,2.86,5.51,2.65,3.54,5.2,4.37,3.18,5.64,,
Total,,,,,,,42.38,29.62,39.97,36.58,33.14,33.48,33.16,30.19,30.15,45.21,29.21,35.98,,
