"PARSONSTOWN BIRR CASTLE",,,,,,,,,,,,
Grid ref,IN0578705112,Long,-7.914333,Lat,53.096806,,,,,,,
Station no,6091,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.26,2.77,3.01,4.55,3.49,2.32,3.89,1.15,2.92,2.68,,
February,2.32,1.20,1.99,2.69,3.91,1.54,2.54,1.72,2.31,0.97,,
March,0.67,2.93,2.18,6.12,2.64,4.17,2.29,2.73,3.00,3.05,,
April,2.13,2.08,2.07,1.32,2.25,1.54,1.64,2.50,1.85,4.24,,
May,2.30,1.69,2.00,1.69,2.81,1.06,3.42,2.89,2.60,2.60,,
June,3.60,2.90,1.62,1.35,1.84,1.45,2.06,2.99,1.20,1.72,,
July,1.90,1.22,2.05,4.99,3.15,1.12,3.09,4.91,3.09,1.97,,
August,7.24,2.76,2.57,5.08,3.31,5.50,3.87,3.28,3.17,1.18,,
September,1.71,3.83,1.68,3.62,2.00,1.58,0.97,1.04,5.97,2.10,,
October,4.12,2.72,1.67,4.47,2.78,1.28,4.79,4.81,1.56,4.31,,
November,4.41,4.10,4.39,2.48,2.29,2.33,1.73,2.82,2.47,1.87,,
December,3.94,3.00,3.01,2.57,1.84,1.80,2.35,3.53,3.14,3.70,,
Total,38.60,31.20,28.24,40.93,32.31,25.69,32.64,34.37,33.28,30.39,,
Calc annual,38.60,31.20,28.24,40.93,32.31,25.69,32.64,34.37,33.28,30.39,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
