"FRIMLEY GREEN RIDGEMOUNT",,,,,,,,,,,,
Grid ref,SU900573,Long,-0.710233,Lat,51.307712,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.07,1.96,0.87,2.95,3.90,0.90,4.11,0.74,1.81,0.94,,
February,4.56,1.46,0.97,1.67,3.70,1.14,2.17,1.51,1.29,0.45,,
March,1.10,2.04,1.99,3.41,1.42,3.74,1.68,1.04,3.24,4.01,,
April,0.97,1.94,0.97,2.28,1.44,1.45,0.61,4.02,3.46,2.02,,
May,1.32,0.68,2.64,2.97,3.59,1.13,2.37,1.68,1.77,1.68,,
June,2.59,1.34,3.59,6.18,0.93,4.65,2.57,2.17,1.24,4.05,,
July,1.30,1.84,0.93,4.30,2.14,0.56,0.48,1.70,1.54,2.64,,
August,2.71,1.81,3.71,3.80,1.70,3.02,0.70,2.73,3.27,1.87,,
September,0.52,1.06,1.07,2.70,1.51,2.25,1.24,0.68,1.65,3.59,,
October,2.10,2.41,1.84,7.17,1.82,1.67,4.94,5.52,2.88,4.88,,
November,2.25,0.61,2.80,2.02,1.48,3.13,4.24,2.12,0.87,0.64,,
December,3.02,3.73,1.61,2.72,2.80,0.86,2.32,3.61,2.60,3.23,,
Total,25.51,20.88,22.99,42.17,26.43,24.50,27.43,27.52,25.62,30.00,,
Calc annual,25.51,20.88,22.99,42.17,26.43,24.50,27.43,27.52,25.62,30.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
