COLESBORNE-MARSDEN-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SP012117,Long,-1.9839998,Lat,51.80394,Elevation,524,ft,,,,,,,,,,,,
Station no,2205/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.87,7.06,2.82,3.61,4.26,,,,,,,,
February,,,,,,,,1.05,1.87,3.57,3.97,1.05,,,,,,,,
March,,,,,,,,0.29,1.98,2.78,3.14,2.83,,,,,,,,
April,,,,,,,,,3.61,2.22,1.71,1.43,,,,,,,,
May,,,,,,,,,1.06,2.45,1.9,4.53,,,,,,,,
June,,,,,,,,,2.2,0.75,1.83,0.31,,,,,,,,
July,,,,,,,,,6.02,4.09,3.61,2.86,,,,,,,,
August,,,,,,,,4.88,2.39,0.23,5.28,4.88,,,,,,,,
September,,,,,,,,2.63,1.04,1.05,0.78,2.36,,,,,,,,
October,,,,,,,,4.43,3.79,4.25,2.48,4.12,,,,,,,,
November,,,,,,,,3.91,5.76,8.16,2.93,1.77,,,,,,,,
December,,,,,,,,4.33,2.76,1.73,2.09,4.5,,,,,,,,
Total,,,,,,,,,39.54,34.1,33.33,34.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1938 Apr-Jul estimated,,,,,,,,,,,,,,,,,,,,
1940 Sep IDR,,,,,,,,,,,,,,,,,,,,
