HORNDEAN-ST-CATHERINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU693143,Long,-1.01492,Lat,50.92404,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,3.41,3.55,2.34,4.49,3.67,1.68,1.43,4.02,3.13,1.37,2.36,5.81,3.89,1.6,3.59,0.91,3.36,4.14,1.52,1.18,2.52,4.74,,,,,
February,,,,4.88,2.26,3.81,0.67,1.08,1.07,2.42,1.06,0.25,1.04,4.12,2.21,0.12,0.59,4.41,1.8,3.12,5.35,1.87,2.19,1.69,4.1,,,,,
March,,,,0.81,3.3,2.92,2.72,1.54,3.89,2.46,1.37,3.89,1.35,0.45,2.1,2.85,4.5,5.34,0.88,0.62,0.92,2.32,2.43,3.09,1.34,,,,,
April,,,,1.68,1.31,1.44,1.76,1.78,1.76,2.19,2.78,1.02,1.05,0.11,2.41,2.94,0.66,3.1,1.7,2.98,1.79,2.86,1.19,3.1,1.5,,,,,
May,,,,2.6,0.95,3.95,3.84,1.05,2.1,3.68,2.45,2.22,0.6,0.89,1.34,0.35,0.54,1.88,3.62,1,1.35,0.9,3,3.53,4.09,,,,,
June,,,,2.23,1.53,2.5,0.8,1.46,4.02,0.79,3.63,2.17,2.86,1.48,2.4,1.27,2.02,2.84,2.69,1.79,3.37,2.73,3.39,2.72,1.33,,,,,
July,,,,2.94,2.74,0.79,3.77,1.06,5.81,3.03,3.4,2.8,2.85,3.97,5.66,4.84,1.1,0.9,0.6,2.81,1.56,3.01,1.69,3.8,1.83,,,,,
August,,,,1.11,1.6,0.61,1.64,1.7,3.24,2.75,3.15,7.24,4.07,1.35,2.27,3.44,2.34,6.84,2.21,1.86,2.86,2.4,5.56,5.46,3.17,,,,,
September,,,,4.99,2.89,6.18,2.06,2.92,1.17,1.08,1.01,1.84,3.71,2.42,2.89,0.59,10.22,3.38,1.43,3.25,1.16,2.41,2.68,2.73,2.37,,,,,
October,,,,3.43,0.92,4.32,4.84,1.79,1.92,6.92,1.66,8.21,5.03,4.32,4.2,3.84,3.49,0.65,4.89,2.61,3.04,3.35,2.89,9.2,2.73,,,,,
November,,,,4.57,1.39,3.54,3.55,5.67,5.62,1.43,2.57,4.93,3.52,2.71,5.93,6.67,1.23,1.75,4.61,5.94,3.54,0.57,4.02,2,1.47,,,,,
December,,,,1.41,4.42,1.71,6.68,2.46,1.97,2.57,0.65,5.39,2.56,2.94,2.83,3.59,5.6,4.33,3.55,1.69,4.57,4.54,1.81,2.71,3.15,,,,,
Total,,,,34.06,26.86,34.11,36.82,26.18,34.25,30.75,27.75,43.09,30.01,27.12,40.05,34.39,33.89,39.01,28.89,31.03,33.65,28.48,32.03,42.55,31.82,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Jan 1 Gauge moved 37ft SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given elevation is 417ft but not possible if south of house so adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
