"HORNDEAN ST CATHERINES",,,,,,,,,,,,
Grid ref,SU694143,Long,-1.013971,Lat,50.923992,,,,,,,
Station no,RR4780,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.14,1.52,1.18,2.52,4.74,,,,,,,
February,5.35,1.87,2.19,1.69,4.10,,,,,,,
March,0.92,2.32,2.43,3.09,1.34,,,,,,,
April,1.79,2.86,1.19,3.10,1.50,,,,,,,
May,1.35,0.90,3.00,3.53,4.09,,,,,,,
June,3.37,2.73,3.39,2.72,1.33,,,,,,,
July,1.56,3.01,1.69,3.80,1.83,,,,,,,
August,2.86,2.40,5.56,5.46,3.17,,,,,,,
September,1.16,2.41,2.68,2.73,2.37,,,,,,,
October,3.04,3.35,2.89,9.20,2.73,,,,,,,
November,3.54,0.57,4.02,2.00,1.47,,,,,,,
December,4.57,4.54,1.81,2.71,3.15,,,,,,,
Total,33.65,28.48,32.03,42.55,31.82,,,,,,,
Calc annual,33.65,28.48,32.03,42.55,31.82,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
